"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","director__003","actor__001","actor__002","actor__003","actor__004"
"惨通的战争","1980","25735673","历史","战争","纪录片","0","导演江志文用跨国收集到的丰富映像资料和清晰的国际历史论述，将日本侵华战争史的始末完整而生动地介绍给新一代的香港观众。\n本片叙述的是第二次世界大战的战争史，亦是日军侵华史。一八五三年，美国百利提督前往东京湾，迫令日本开放门户。一九二六年，裕仁登位，日本国内好战军国主义者决定大肆扩张。同时期，中国非常混乱，满清被推翻，军阀割据，孙中山东奔西走，呼国家统一。\n孙中山逝世后，蒋介石统一各军阀，在南京成立国民政府，继续狙击以毛泽东为首的共产党。日本趁机发难，利用关东军政变作为侵华先声，一九三一年发生九一八事变。日本以财物被毁为藉口，挥军进入中国东北三省，遂成立满洲国，立前宣统皇帝溥仪为满洲皇。\n一九三二年上海发生一二八事变，日本女间谍川岛芳子买凶打伤五名日本僧侣，日本派海军进入闸北，惹事生端，蔡延锴率领十九路军抗日，日空军增援，闸北一片混乱，人民涌往租界，双方激战三个多月。国联（联合国前身）施加压力，终在三月二日停火，日军撤出。\n日军继续深入华北，铃木领兵攻陷山海关，直入热河及河北，宋哲元领导廿九路军长城抗日。一九三六年二月廿六日，日本攻变，首相冈田遇刺，前首相齐藤及通产相当桥遇害，在三一至三六年间，五位首相先后遇刺而死。政府元老西园寺被迫重返政坛，希望挽回政局。\n蒋介石之“攘外必须安内”政策开始见效，毛泽东之共产党因逃避国军包围，在三、四年事件发生，蒋介石掳，周恩来居中调解，共产党同意接受蒋介石之指挥，与国民党合力抗日。\n三七年卢沟桥七七事变，河边正三下令开火，二次大战爆发。廿二日后北京沦陷，日军在松井石根率下直趋上海，八月十三日上海被炸，日军进占上海市，十月廿六日国军撤退，八百壮士据守四行仓库，但上海终于失守，日军西攻南京。南京市民争相走避，美军舰前往疏散美侨，日军空袭，双方驳火，军舰沉没，十二月十二日，南京沦陷，发生历史性之南京大屠杀。日军占据主要公路，国军游击反击，在西北平型关一役成功，而李宗仁亦在中部台儿庄智困日军第五坦克兵团，日军续指汉口，由东北山区突入，另外五师日军沿长江水陆两路进攻。日军进袭广州，三八年十月廿一日，广州沦陷。\n蒋介石在陪都重庆宣誓抗日到底，而西北延安之毛泽东共党成员，被编为蒋介石之“第八路军”，抗日军政大学成立。大部份学员，日后成为解放军骨干。\n一九三九年九月，希特勒发动第二次世界大战。四一年初，松冈访柏林，签署德、意、日三国条约。同年四月，松冈抵莫斯科，与史太林订互不侵犯条约。四一年十月，东条英机接任首相。\n同年十二月七日，日本成功偷袭珍珠港后，继续实行吞并东南亚发“大东亚共荣圈”的梦，首先派兵南下香港，进占九龙半岛，连续炮轰港岛五日，四一年十月二十八日，日军登陆港岛，二星期后，并由泰国派机轰炸仰光，以期截断中国补给钱，两个月后进占腊戊，截断滇缅公路。\n曾经负责策划偷袭珍珠港之日本大将山本五十六计划进攻中途岛及阿留申群岛，以破坏美国舰队，但被美国海军情报局截收密码，获知阴谋，并派机搜索敌踪。以至四十二年六月四日当日军发动攻击时，遭遇顽抗。经过八小时激战后，四艘航空母舰被击沉，日本海军实力被削减一半，成为日本兴衰之转折点。不久美军空投原子弹到广岛，日本便宣布无条件投降。","江志文","","","","","",""
"杀手壕","1980","1303137","动作","喜剧","","5.9","美国的“杀手壕”格斗比赛即将拉开帷幕，两支芝加哥地区的黑帮都意欲在比赛中胜出，而其中一方的王牌选手——杀人王李呼声颇高。青年阿龙（成龙 饰）一家在芝加哥经营饭店，龙父遭黑帮勒索，阿龙出手赶跑恶人反被父亲抱怨，原来龙父一直不满阿龙跟自己弟弟学习武术，斥之不务正业，要求他向做了医生的长子学习。阿龙教训恶徒的经过被黑帮二代当家彭看见，彭有意令阿龙为他们出战杀手壕比赛，彭所在黑帮随即殴打阿龙好友，并绑架了阿龙没过门的嫂子要挟他与杀人王战斗。阿龙和叔叔救人失败，无奈只得刻苦训练，代表彭一伙参加比赛。阿龙在比赛中连战连捷，在他和杀人王的终极决赛之时，彭却出卖了他……©豆瓣","罗伯特·高洛斯","","","成龙","何塞·费勒","克里斯汀·德贝尔",""
"钱作怪","1980","1837656","喜剧","动作","冒险","6.8","阿英（许冠英 饰）和肥波（古国华 饰）两人自小一起长大，情同手足；长大后，两人一起到了汽水厂里当了维修工。虽然收入卑微，家境贫寒，但是两人却也其乐融融。一日，两人合伙一起买六合彩，不料真的中了头奖，两个穷光蛋一夜间变成了百万富翁。\n当红影星琪琪（陈琪琪 饰）一直是阿英的梦中情人，有钱后的阿英很快和她交上了朋友。岂料琪琪看中的只是阿英的钱，看出了端倪的肥波多次劝诫阿英，被迷得晕头转向的阿英没有听从肥波劝告，反而觉得肥波在嫉妒自己，两个好友由此交恶。琪琪骗得阿英所有财产后，忽然消失了，阿英刹那间又变回了穷光蛋……©豆瓣","吴宇森","","","许冠英","陈琪琪","林正英","古国华"
"摩登土佬","1980","2352638","喜剧","音乐","","6.2","導演陳家蓀拍過極受歡迎的音樂喜劇電視節目，他第一部電影《摩登土佬》，是引證香港電影進入現代化的重要作品，找來初登銀幕的林子祥主演、台灣女歌手齊豫客串。故事講述青年貝小芬（林子祥）暑假無聊，與好友漢堡飽（麥德羅）四處求職，結果被廣告公司史蓮娜（井莉）看中，邀拍廣告，本來是個大展才華的好機會，豈料得罪惡人「鋼牙」，拍攝打鬥場面時，借機毒打他……劇情左拼右湊，笑料連場。導演以廣告手法拍攝歌舞場面，從美術到音樂，皆令人耳目一新。","陈家荪","","","林子祥","麦德罗","井莉","廖丽玲"
"撞到正","1980","1401486","喜剧","动作","惊悚","6.8","粵劇的「舊」，為「新浪潮」提供了上佳的戲劇背景。許鞍華的第二部作品以戲班後台作為舞台，泡製出一個寓風格於現實的故事。長洲可說是一個大型的後台，其古樸的離島風貌，配合了粵劇肖象性的化妝、絢麗的服飾及富於感觀性的舞台表演，營造出一股詭秘妖異的氣氛。兩代恩怨竟牽涉商業騙局及軍政大事，陰與陽、人與鬼、新與舊、老與少、真與假，錯綜複雜。蕭芳芳的演出收放自如，演活了「十三點」的鬼馬二幫花旦。導演許鞍華充滿獵奇意味的筆觸，更為粵劇描繪出一種特殊的魅力。","许鞍华","","","萧芳芳","钟镇涛","刘天兰","刘克宣"
"锡晒你","1980","25932084","喜剧","","","0","","江龙","","","路家敏 / 黄元申 / 郑则仕","","",""
"咸鱼番生","1980","1303952","喜剧","动作","","6.6","侠盗“一枝花”专劫富济贫故为人钦佩，却因正义感得罪了一名蛇蝎美人，该女子名叫“仇女”虽嫁与一土豪“孤寒财主”为妾但始终不忘被“一枝花”所辱，誓必要将“一枝花”置于死地。“一枝花”浪迹江湖，但“仇女”并未因而放过他，反而更诬造许多盗窃案令官方大举追缉之。其时江湖上出现两个小人物，一肥一瘦，肥名“胀爆”为人憨直，因仰慕“一枝花”而喜扮大侠，瘦名“扭纹柴”常自作聪明经常撞板，喜占小便宜，为了官方之花红到处找寻“一枝花”，而偶遇上“胀爆”后来反成莫逆之交，两人更结伴一同寻找“一枝花”……","麦嘉","","","洪金宝","午马","麦嘉","石天"
"只手遮天","1980","21348175","动作","","","0","地产商霍近南为人乐善好施,且能平易近人,但因在地产界中表现突出,经常引来同行嫉妒.另一名地产商陆骧人因为投资问题与霍发生激烈冲突,在警方的调停下冲突暂时平息下来.高庆泉是霍的一名同乡兄弟,其为人阴险狡猾.某天高的弟弟死于非命,高怀疑是陆之儿子所为,正要报仇时警方及时赶到将高逮捕.陆却乘虚而入,暗中怂恿高诬指霍为主谋,霍无辜被捕.","萧荣","","","邓光荣","吕瑞容","田丰",""
"邪斗邪","1980","1484633","恐怖","奇幻","","7.2","桂治洪“邪”三部曲之首。\n民国初年，广州西关陈家家道已中落到，只剩陈秀英（恬妮）、其入赘的丈夫杨振宇（王戎）及服侍秀英的丫环。秀英体弱多病，稍一走动便会连咳不止，振宇是赌徒加酒徒，在外一遇不顺心事，便会对秀英及丫环拳打脚踢，丫环无法再忍，别秀英归家。\n这日秀英迎来自称陈府仆人之女的梁绮华（陈思佳）。见秀英身虚体弱，绮华表示愿留下将她照料，秀英将振宇恶习说明，绮华仍毫无犹豫，秀英感激不尽。对这位新来的丫环，振宇自没给予特殊优待，但绮华也非“善类”，某日她瞅准机会联合秀英将振宇杀害。秀英从此陷入恐慌，终被振宇的“鬼魂”吓死。她至死不知的是，绮华原是振宇的情人，而振宇与绮华亦没想到，秀英竟然“阴魂不散”。©豆瓣","桂治洪","","","恬妮","王戎","陈思佳","韩国材"
"疯狂大老千","1980","1298187","动作","喜剧","","6.5","光棍七、冇皮柴是两名乌龙大老千，意外地骗取了大鳄金益公的僞钞，惹来其杀手癫马、铁牛的追杀，幸得孤儿麦斗相救。自此，两大一小成为莫逆之交。经历江湖种种危困，二人深感麦不宜漂泊江湖。此时，两人得知小孩原来是大鳄亲生儿子，遂迫他回到大鳄身边。岂料，二人送羊入“鳄”口，大鳄不但“拒收”弃子，更要杀死三人……","麦嘉","","","石天","麦嘉","",""
