"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","director__003","actor__001","actor__002","actor__003","actor__004"
"十万火急","1997","1304045","剧情","爱情","冒险","7.3","消防队长云（刘青云饰）是个刻己尽责的救火队员，每当意外发生，他都要和队员赶到火场。新调来的上司（方中信饰）决心以严谨纪律重整阵容，他的苛刻要求招致一众消防员的不满。但在生活上，他们各自并不如意。上司重遇前妻，形同陌路。一心为事业的女见习队长（黄卓菱饰）也与丈夫貌合神离。云在一次现场抢救过程中，搭救了Carmen（李若彤饰）。\n面对那场突然爆发的灾难性的五级大火，对消防员自身构成危险，所有人必须离开火场，火场內藏有大量危险品及引致大爆炸，並且释放出大量有毒气体，而火场內仍有生还者待救。身处生死边缘的消防队员们，仍决定奋不顾身继续救人，最后他们能否成功？©豆瓣","杜琪峰","","","刘青云","方中信","李若彤","刘松仁"
"麻雀飞龙","1997","1764897","喜剧","动作","爱情","6.9","剧情描述嗜赌如命的香港女警秀钿，因负债累累而回大陆东莞相亲。另一方面，赌术精堪的北鬼首在出狱之后，遭死对头南天龙纠缠不清，希望将他招揽旗下，但他已决心退出江湖，只好想办法逃离中国。秀钿巧遇北鬼首，答应跟他假结婚藉以交换传授赌术。","元奎","黎大炜","刘镇伟","萧芳芳","赵文卓","柯受良","卢惠光"
"基佬40","1997","1302926","喜剧","同性","","7.7","家声（林子祥 饰）已经四十六岁了，至今仍未成家。他青梅竹马女友丽泉（伍咏薇 饰），要求与他之间做个了断。两人多年来没有结果是因为家声是一名同性恋者。而家声是有一名男朋友Sonny（陈小春 饰）的，但Sonny十分享受花花世界给他带来的虚荣，这样便使得家声觉得十分没有安全感，却又对Sonny的感情越来越深。\n家声一名同性恋好友永烈因艾滋病死去了，家声劝止永烈的男友（吴镇宇 饰）不要出现在丧礼上，却被Sonny从中捣乱，家声也因此与Sonny分手了。\n但家声复杂的感情世界并没有因为这样得到解决……©豆瓣","舒琪","","","林子祥","陈小春","吴镇宇","伍咏薇"
"我有我疯狂","1997","1300280","悬疑","","","0","廖小璇（陈宝莲饰）与丈夫马祖辉驱车在夜里游玩，汽车失事堕海，马祖辉意外身亡。人们根据种种迹象，怀疑这是廖小璇一手策划的谋杀丈夫案件，马祖辉生前购下的巨额保险和廖小璇以往的不良纪录，更是增加了疑点。马祖辉的家族一口咬定是廖小璇所为，但又拿不出过硬的证据，于是保险公司派来调查员贾淑贤（袁洁莹饰）。此人表面上代表律师替璇洗脱罪名，暗地里是搜集证据要钉死廖小璇。可是，在整个过程中，贾淑贤发觉廖小璇并不是阴险毒辣的人，转过头来帮助廖小璇。一个自称是马祖辉太太的女人金露露（宫雪花饰）出现在大宅里面，目的很清楚是那笔保险金，金露露与廖小璇水火不能相容。贾淑贤经过调查，发现马祖辉原来有一桩秘密的婚外情，而对象竟然就是…","侯永财","","","陈宝莲","蔡少芬","袁洁莹",""
"夜半2点钟","1997","1479883","喜剧","恐怖","","5.6","（1）《化装》∶失业多时的化装师好不容易找到一份工作，就是为女星伊娃修补被火毁容的脸孔，但她渐渐觉得不对劲，原来伊娃早已死於大火，是她的鬼魂在作祟。\n（2）《猛鬼电视台》∶三个电视台姐仔跟踪天皇巨星黄昏，想揭发他的绯闻，想不到见到其女友的真容竟令她们仓忙逃命。究竟是什么令他们惊慌失措呢？\n（3）《幽灵广告》∶广告界新丁在拍一个广告时发现玩火车捐山窿的小朋友多了一个。接着怪事频频发生。©豆瓣","钱永强","","","陈小春","周文健","黄伟文","徐锦江"
"一个好人","1997","1295547","动作","喜剧","犯罪","7","澳大利亚墨尔本，华裔厨师积奇（成龙 饰）是当地小有名气的人物，定期在电视上主持烹饪节目。\n毒枭金·卡洛（Richard Norton 饰）集团颇有势力，金·卡洛本人残暴冷酷，清除了敌对帮派的卧底之后率众和对方在仓库大打出手，而枪战全过程被记者戴安娜（Gabrielle Fitzpatrick 饰）用摄影机记录。在躲避贩毒集团追逐的路上，戴安娜巧遇积奇，后者仗义出手为她引开歹徒，孰料两人分手时戴安娜错将积奇的节目录像带当做证据带走。戴安娜的住处很快被贩毒集团找到，遍搜不获的歹徒们开始将目标转向积奇。积奇女友美琪（李婷宜 饰）远道来访，特意参加了积奇的节目录制，贩毒集团在录制现场围捕积奇，经过一番街头苦战，积奇终于脱险。黄雀在后的金·卡洛敌对帮派带走了美琪，要挟积奇用录像带换人，一时间，围绕着录像带，积奇、警方、以及两个犯罪集团陷入了混乱的争夺战。©豆瓣","洪金宝","","","成龙","理查德·诺顿","李婷宜","卡伦·麦克利蒙特"
"黄飞鸿之西域雄狮","1997","1292843","动作","历史","西部","6.9","黄飞鸿（李连杰 饰），十三姨（关之琳 饰）和鬼脚七（熊欣欣 饰）三人远赴美国旧金山，只因一年前牙擦苏（陈国邦 饰）在美国开设宝芝林至今终于扎下了脚跟。黄飞鸿于路搭救了落难的美国快枪手比利（Jeff Wolfe 饰），不想他们的旅队被林中埋伏的印第安人冲散，黄飞鸿为救十三姨落入湍急河流，头部受撞击后下落不明。十三姨和鬼脚七被人救起送至宝芝林，牙擦苏得见二人大喜过望，为这华工颇受镇长欺侮的小镇生活增添了生机。比利因出众的枪法受雇为助理治安官，对华人颇有好感的比利凭一己之力予以华工帮助。失去记忆的黄飞鸿被印第安人部落收留，因十三姨坚持不懈的寻找二人终于团聚。与此同时，镇长与匪帮勾结为自己牟取暴利，事发后撇开匪帮导致后者大举报复，被镇长栽赃的黄飞鸿挺身而出，大战西部群匪……©豆瓣","洪金宝","","","李连杰","关之琳","熊欣欣","陈国邦"
"97家有囍事","1997","1305197","喜剧","","","7.6","老先生（乔宏 饰）有三个儿子。老大老良（黄百鸣 饰）整天忙于工作而忽略了老婆贤淑（伍咏薇 饰），贤淑每天在家中打点，却遭到老公误会她红杏出墙。次子老非利用读书逃避到投身社会，个性单纯，向往爱情却遭到伤害，之到后来认识了从北方来的小莲（吴倩莲 饰）。适逢老三老恭生日，平日老恭作恶多端，生性风流，两个哥哥以买彩票为名作为礼物送给老恭，其实那本来是一张过期的中奖彩票，他信以为真，因此欠下了巨债。祸不单行的他撞车脑震荡，变得疯疯癫癫……©豆瓣","张坚庭","","","周星驰","黄百鸣","吴镇宇","乔宏"
"爱情Amoeba","1997","1307709","喜剧","","","6.3","阿东（张智霖 饰）、阿郎（葛民辉 饰）和布拉德（许志安 饰）是同居一室的室友兼好友。阿东和女友（汤宝如 饰）相恋多年，彼此之间感情十分稳定。然而，这段波澜不惊的感情却令阿东感到乏味和疲惫。\n某日，阿东偶然之中遇见了久别的漂亮表妹，热情活泼的表妹很快就吸引了阿东的注意，在表妹身上，阿东寻得了久违的激情和重获青春的感情。然而，女友对自己的依恋让阿东无法和她说出实情，夹在两个女人之间，阿东苦苦无法做出选择。布拉德向来喜欢流连于莺莺燕燕之中，风流快活，哪知道一位神秘女子的出现，竟然让一向洒脱的布拉德陷入了苦恋之中。©豆瓣","舒琪","","","张智霖","葛民辉","黄子华",""
"黑玫瑰义结金兰","1997","1499719","喜剧","","","6.9","冰室伙记阿武暗恋的嗒糖被无恶不作的酸梅汤掳走，幸遇退隐江湖三十年的女侠黑玫瑰。黑玫瑰多年来将吕奇禁锢，希望动之以情，令吕奇回心转意。武与吕奇劝黑玫瑰重出江湖，对付酸梅汤。","元奎","刘镇伟","","薛家燕","林海峰","吴君如","柯受良"
"抱拥朝阳","1997","1302137","剧情","","","6.5","故事发生在一条正在全速驶往目的地的豪华游轮之上。汉至谊（袁咏仪 饰）和父亲汉海防及母亲阮贞淑一起偷渡到香港，希望能够在这里落地扎根，拥有更美好的生活。汉海防的父亲在香港留有价值不菲的祖业，再家长与汉家交好的易祖勋的帮助，海防很快就建立起了自己的商业帝国，两个家庭的关系亦因此而更加的密不可分。\n易君恕（林家栋 饰）是易祖勋的儿子，他和汉至谊是从小玩到大的青梅竹马，彼此之间感情十分深厚，都将彼此视为会携手步入婚姻殿堂的人选。在一次交易中，易祖勋故意放出假消息，误导了海防，虽然这让海防获得了巨大的成功，却也变成了全香港房地产商们的眼中钉肉中刺。©豆瓣","谭朗昌","","","林子祥","袁咏仪","潘虹","林家栋"
