"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","actor__001","actor__002","actor__003","actor__004"
"失业皇帝","1999","1476676","喜剧","爱情","","6.1","夏刚（罗家良 饰）是某制药厂的执行总裁，因为董事长儿子董大少爷的排挤被逼离开公司。身无分文的他意志消沉，沦落到街头做乞丐。行乞期间他认识了一群好朋友，更爱上了一个叫阿楠（梁咏琪 饰）的女孩子。为了追得美人归，他使尽浑身解数，甚至编谎话博取女友同情。到后来夏刚在阿楠的影响下重振旗鼓，与美国著名药厂合作。但阿楠知道了夏刚的谎言后，决意下嫁夏刚的死对头董大少爷……©豆瓣","马伟豪","","罗嘉良","梁咏琪","葛民辉","林尚义"
"天旋地恋","1999","1302655","爱情","","","6.2","祺（古巨基）自小做事就很有计划，身为深圳某家公司的高级职员，他已规划好何时同在日本留学的女友June（陈颖妍）结婚、退休等人生大事。某日看过June发来的一封E-mail后，他休假来到日本。令他想不到的是，June已与他的死党，在日本学漫画的Sam（李灿森）坠入爱河。\n祺无法接受未来被打乱的事实，失意地来到咖啡馆，结识从台湾来日本发展事业的模特Kiki（舒淇）。Kiki在日本遭受过许多打击，但一直乐观开朗，在与她相处时，祺的心情有些微改观。其后两人扮24小时情人，过程中Kiki爱上了祺，祺也在分手那刻察觉出了心的不舍，但他仍要自己理智大于情感。©豆瓣","林超贤","陈嘉上","古巨基","舒淇","李灿森","陈颖妍"
"去年烟花特别多","1998","1304879","剧情","","","8.1","九七香港回归使家贤（何华超）等5名已近不惑之年的华籍英兵成了“无用”的人，然而他们虽然深知无力与年轻一代争抢舞台，却仍在尽力给自己找寻新的位置，但许多事并非有心努力就能做成，朋友Bobby虽重新将自己确定，家贤却只能通过弟弟家璇（李灿森）的引荐铤而走险加入黑帮，等待命运将他捶打。\n无论性格还是社会地位，家璇都与家贤形成鲜明对比。家人明显更看重家璇、年轻女中学生对家贤等老兵恣意嘲笑奚落的同时对家璇作盲目崇拜等情节，或许暗喻了港人在新旧交替时刻的复杂心理。©豆瓣","陈果","","何华超","李灿森","谷祖琳","黎志豪"
"新羔羊医生","","1302541","","","","","","","","","","",""
"轰天绑架大富豪","1999","3993594","剧情","悬疑","","6.2","大富豪语录“我最恐惧的不是死，而是穷”。\n世界犯罪集团大起底，本世纪的智能型罪案专家挑衅中港公仆。\n绰号‘大富豪’的大贼王戴富强（影射张子强），专门从事大型犯罪活动，由机械劫款车、打劫金铺至绑架富商，犯案越见严重。可惜其一指逍遥法外，直至他潜反内地，被公安拘捕，终判死刑。","马天耀","罗惠德","吕良伟","叶童","于荣光","林国斌"
"阴阳路五之一见发财","1999","1297538","恐怖","","","6.4","香港出租车夜晚拉客常常遇鬼，比如夜车司机林中发（古天乐饰）就差点载一女鬼（罗兰饰）前往荃湾，而同事“快车长”（雷宇杨饰）却遇见某女扮鬼诈骗，随后又载真女鬼前往和合石火葬场。嗜赌成性的林中发收工后被追债上门，为躲赌债不得已携妻子（李蕙敏饰）和儿子安仔搬入阴阳路上某廉价大屋，却发现房中闹鬼，吓得安仔夜夜哭泣不停。林中发向屋中鬼魂（吴毅将饰）赌咒发誓，若帮他畅通财路，便愿将自己所有一切分半同享。第二日，林中发发现屋中出现一组神秘数字，从此他所向披靡，逢赌必胜；但林中发没想到的是，屋中鬼魂要分的不仅是他的财富，还有他的妻子和儿子……\n本片是《阴阳路》系列的第五部作品。©豆瓣","邱礼涛","","古天乐","雷宇扬","罗兰","黎耀祥"
"强奸终极篇之最后羔羊","","1307602","","","","","","","","","","",""
"心猿意马","1999","1401515","剧情","","","7.1","刘保（吴毅将 饰）是一名平凡的出租车司机，一心想靠着买股票发财。不幸的是，金融风暴的席卷让他的梦想彻底破灭，负债累累的刘保甚至连自己用以谋生的出租车都快要保不住了。一场意外中，刘保邂逅了一名陌生的偷渡客（王喜 饰），朦胧而又迷离的夜晚，两人之间产生了暧昧的情愫。\n辛迪（黎姿 饰）在国外学成归来，一心想要和男友飞利浦（连凯 饰）双宿双飞。却在误打误撞之中遇见了成熟稳重的雷安东（谢贤 饰）。那边厢，飞利浦因为种种现实而被迫留在大陆无法前往香港，此期间，他结识了名为丁丽（黄佩霞 饰）的小明星，两人发展了一段露水情缘。丁丽被公司雪藏，绝望之中，她想到了死。©豆瓣","李志超","","黄佩霞","黎姿","吴毅将","连凯"
"1959某日某","1999","3778146","动作","","","0","1959年的某一天，“细凤”准备离开香港。在即将离开香港赴美国读书的前一天，他和死党到茶餐厅，准备与歌女聊天消磨这他在香港的最后一天，而这一天也是他唯一能够掌握自己的时间，做自己想做的事的一天。最后，他独自与师父叶问印证武艺，尽得咏春奥妙。","欧锦棠","Stephen Au","欧锦棠","杜汶泽","李润祺",""
"喜剧之王","1999","1302425","喜剧","剧情","爱情","8.7","尹天仇（周星驰 饰）一直醉心戏剧，想成为一名演员，平时除了做跑龙套以外，还会在街坊福利会里开设演员训练班。此时舞小姐柳飘飘在妈妈桑的带领下来到这里要求学做戏，原来柳飘飘有一段非常不愉快的经历，在尹天仇对她指导的过程中，柳飘飘对尹天仇渐生情愫，同时她也成为了夜总会里当红的小姐。尹天仇受到了极多白眼之后，终于得到了大明星鹃姐（莫文蔚 饰）的赏识，提携他担演新戏中的男主角，但没想到突然把他的角色换掉了，令他失望不已。在片场当场务的卧底警员（吴孟达 饰）身份被识穿，尹天仇阴差阳错的帮忙破了案。之后尹天仇继续活跃在街坊福利会的演员训练班里。©豆瓣","周星驰","李力持","周星驰","张柏芝","莫文蔚","吴孟达"
"玻璃樽","1999","1306541","动作","爱情","喜剧","6.5","台湾一个小渔村，女孩阿北（舒淇 饰）一直在这里过着平静的生活。直到有一天，她在海边拣到了一个由香港飘过来的玻璃樽。玻璃樽里有一张香港男孩写的纸条：“我很寂寞，你呢？”，里面还留了他的住址和联系电话。于是，阿北开始在满怀憧憬中来到香港寻找这个男孩。\n根据地址，阿北找到了男孩阿波。阿波为阿北的勇气所折服，收留了她。经过一段时间的接触，阿北惊奇地发现阿波原来是个同性恋，根本不是自己心目中的白马王子。这时，阿北遇上了心中的白马王子――金融奇才阿祥（成龙 饰）。为了接近喜欢追求刺激的阿祥，阿北谎称自己是黑社会老大的女儿。于是，一场意想不到的经历发生了。©豆瓣","谷德昭","","成龙","舒淇","梁朝伟","周华健"
"爱情梦幻号","1999","1308384","爱情","","","5.7","富家子弟学津（刘德华 饰）自命不凡，多次恋爱后均迅速对对方无感觉，经常在订婚分手。这次，学津看上了来自上海的女服务生文青（瞿颖 饰），文青大方得体，和学津以及他的家人朋友都很聊得来。于是，学津准备与文青一起乘豪华邮轮作远洋旅游，并在船上举行盛大的订婚仪式。学津有所不知的是，文青的大方得体、学识广博其实是她每晚都努力准备好次日的聊天话题的结果，而文青也开始逐渐厌恶这种生活，她感到十分疲累。\n两人上船后，文青邂逅了服务生乐文（黄磊 饰）；而学津则在和一个叫红叶（石田光 饰）的女生针锋相对后，学津发现自己疯狂的爱上了对方。两人能否在船上找到属于自己的梦幻爱情？©豆瓣","邱礼涛","","刘德华","石田光","瞿颖","黄磊"
"O记三合会档案","1999","1294713","动作","犯罪","","7.2","20世纪50年代末60年代初的香港，警匪勾结，乌烟瘴气。其中，九龙城寨更是一个龙蛇盘踞，令人闻风丧胆的混乱所在。\n无所事事的小青年阿豪（刘青云 饰）和阿乐（吴镇宇 饰）偶然混迹于此，为这里的乱世气氛所感染，乐不思蜀。他们合伙赌马诈钱，惹来庄家追杀，幸得当时城寨大哥肥宝出手方保住性命，二人的命运也自此发生转变。阿豪拜入肥宝门下，后与肥宝的小姨子大胆英（彭玲 饰）相恋，他果敢勇猛，风头无两；阿乐当上警察，与曾和阿豪有染的女孩菲菲（朱茵 饰）结婚。为了让虚荣的妻子过上幸福生活，他不惜选择贪污堕落。\n两个分处黑白道的好兄弟，携手打拼出一个属于他们自己的天下……©豆瓣","霍耀良","","刘青云","吴镇宇","朱茵","彭丹"
