"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","director__003","actor__001","actor__002","actor__003","actor__004"
"半逻降","1988","3692169","恐怖","","","4.4","阿权是南阳降头师的徒弟，学艺多年，峰爷有位年轻貌美的妻子阿娇，峰爷因练降头术，常冷落娇妻，不料阿权乘虚而入，与阿娇打得火热，一日，二人的犯罪情节暴露，峰爷要置劣徒于死地，阿娇暗中帮助阿权偷了峰爷的镇山之宝逃跑。阿权为了阿娇不惜一切苦练降头术，结果反中了师傅的毒咒，因为走火入魔，阿权从此中了邪术杀人无数，峰爷知情后，而四处追查阿权的下落，决定大义灭亲。","杜文波","","","金姬美","谷峰","陈国权",""
"飞龙猛将","1988","1300714","动作","喜剧","爱情","7.4","华氏企业下属的化工厂所产废料污染了附近的渔场，渔场负责人阿娴（叶德娴）向法庭申请禁止该厂继续生产的禁令。为将麻烦解除，华氏企业请来律师阿龙（成龙）负责处理此案，并授权他收购渔场。阿龙找来好友黄飞鸿（洪金宝）和阿彪（元彪）帮忙，此二君一个武艺高强，一个虽身手敏捷但头脑不大灵光。\n阿彪在渔场安下窃听装置，黄飞鸿则想方设法接近阿娴，力劝她卖掉渔场，而阿娴也找来表妹水质专家美玲（杨宝玲）帮忙。阿龙初见美玲，便被对方深深吸引，不久两人陷入热恋中，黄飞鸿与阿娴的感情也日渐浓烈。阿彪不小心泄露了三人的本来意图，令阿娴与美玲失望过后分别与阿龙和黄飞鸿绝交。此事促使阿龙一伙发现工厂相瞒的秘密。©豆瓣","洪金宝","元奎","","成龙","洪金宝","元彪","叶德娴"
"八星报喜","1988","1305564","喜剧","","","7.4","方家老大方剑辉（黄百鸣 饰）是一名烹饪主持人，成熟稳重的他对两名弟弟多般照顾，因此到三十岁都没有女朋友；老二方剑郎（周润发 饰）是个娘娘腔的花花公子，纵使有空姐女友天红（郑裕玲 饰），但他仍周旋与众多女友之间，后来更认识美艳的Beautiful（钟楚红 饰）后引发了一段 感情纠纷，郎最终还是浪子回头；小弟方剑笙（张学友 饰）是个单纯害羞的漫画家，偶然遇上了活泼少女莹莹（袁洁莹 饰）后发展了一段纯洁的爱情。\n一次偶然的电话故障，也让方剑辉认识离婚妇人吴芬芳（冯宝宝 饰），两人发展顺利，但却因为帮忙弟弟剑郎掩盖风流债，让芬芳误以为剑辉是个勾三搭四的人，众人决定帮剑辉挽回即将失去的爱情……©豆瓣","杜琪峰","","","周润发","黄百鸣","张学友","钟楚红"
"富贵再逼人","1988","1385567","喜剧","家庭","","7.4","在报馆任职的骠叔（董骠 饰）因为工作的关系带着全家到加拿大工作。一家五口都全身心投入新环境新生活中，骠叔却因得罪上司被解雇了。由于大女儿、二女儿（李丽珍 饰）已开始了学业，他唯有带着妻子骠婶（沈殿霞 饰）与最小的女儿回到香港继续生活，生活却比以前更艰难了。骠婶无意中发现了一张加拿大的头奖彩票，奖金是两千万加币。\n由于不够钱到加国，骠叔硬着头皮向旧上司借。同样受到经济危机的上司设法要夺取骠叔的彩票。骠叔一家顽强对抗，保住了彩票，却无法在领奖时限截止前赶到。\n一家人伤心流泪，悲伤之中发现时间上出现了时差，领奖的时间还没截止。©豆瓣","高志森","宋豪辉","","沈殿霞","董骠","",""
"中国最后一个太监","1987","1300038","剧情","传记","古装","7.2","宣统三年，偏僻小山村的穷孩子来喜见到本村大太监小德张“衣锦还乡”，心生羡慕。尽管母亲（归亚蕾 饰）不忍，却还是在父亲（林正英 饰）的劝说下对儿子进行净身送入宫中，以求全家得以温饱。成年后的来喜（莫少聪 饰）并没有如预期一样丰衣足食，不久民国推翻了满清，宫内的太监都不能留下。来喜来到戏班拜班主（洪金宝 饰）为师学艺，并且重逢了幼时的好友招弟（温碧霞 饰），招弟误认他是革命党人想以身相许，在知道来喜太监的身份后招弟落寞离去。来喜为逃避军阀追踪重新混入紫禁城，得到丁公公（午马 饰）照顾，经过一系列政治斗争后来喜与丁公公又被驱逐到了宫外，此时怀着身孕的招弟又出现在来喜面前。好多年过去了，当来喜以为能够拥有幸福的时候，招弟的革命党丈夫（刘德华 饰）却又出现了，而此时丁公公带着对皇帝最后的愚忠，妄图让来喜和自己前往日本领事馆照顾溥仪，来喜该何去何从？\n本片改编自太监孙耀庭的一部半自传体小说，是张之亮从制片转为导演的处女作，也是莫少聪提名金马奖最佳男主角奖的代表作。©豆瓣","张之亮","","","莫少聪","温碧霞","午马","林正英"
"霸王花","1988","1408315","动作","","","6.8","香港以前本来没有女子特警队，但因为Madam胡（胡慧中 饰）和Madam罗（罗芙洛 饰）两名女警长的出色表现，令到警局高层决定以她们为班底，组建有史以来第一支女子特警队——霸王花。Madam胡和Madam罗分别担任队长带队训练。女子特警队的训练一点也不比飞虎队轻松，在两人的严格训练下，霸王花很快就能出动执行任务了。岂料在和飞虎队一起执行一次保护珠宝任务时，Madam胡领军的霸王花被飞虎队均被国际大盗制伏。紧要关头，Madam罗率队赶到！©豆瓣","钱升玮","","","胡慧中","惠英红","罗芙洛","柏安妮"
"铁甲无敌玛利亚","1988","1304465","科幻","","","6.2","太阳党是一个恐怖组织，其首领救世主（林国斌 饰）善于开发战争机器人，他和女友玛利亚（叶倩文 饰）经常利用自己开发的机器人“先锋一号”大肆破坏。由于“先锋一号”威力强大，警方也常常束手无策。小徐原是英雄党的一分子，后来对自己团伙的所作所为深感不满而在师傅的担保下脱离了该组织。一次小徐在酒吧偶遇了专为警方开发战争机器人的专家阿毛（岑建勋 饰），两人一见如故，成为了好朋友。岂料太阳党因此怀疑小徐出卖了自己，因此派出新研制的机器人——外形和玛利亚一模一样的“先锋二号”追杀小徐；更糟糕的是，警方亦因此怀疑阿毛出卖了政府，因而同时派人前来捉捕他们。一对好兄弟，能否逃出生天？©豆瓣","钟志文","","","梁朝伟","叶倩文","徐克","林正英"
"暴风女","1988","21357938","剧情","","","0","","黃錦鈿","","","尔冬升","于芷蔚","刘少君","鲍起静"
"雪在烧","1988","6025221","剧情","","","6","阿雪（叶全真）是一个十八岁的少女，因家境贫困，被家人卖给刘老头为妻，刘老头个性孤僻，变态。阿雪除了每天做家务，晚上还得承受刘老头的种种性虐待。实在是苦不堪言.某日，阿雪偶偶逃犯华仔（任达华）一见钟情，红杏出墙,不幸被刘老头发现..........","谭家明","","","任达华","叶全真","",""
"点指贼贼","1988","1303375","剧情","喜剧","悬疑","6.4","在一幢单元楼房内往着一群小市民。中秋节晚上，令众人讨厌的太保佐治的家中传来枪声，众人报案，来历不明的少女吕主郭成了最大的嫌疑犯。新来的警察罗佑天奉命暗中调查，他以租房混进这幢楼房，通过与吕主郭拉关系，住进了吕的房间，后来在吕的房间里发现了弹头和佐治的血迹，但吕对这一切茫然不知。不料这时佐治出现，争斗中，佐治倒毙。众人认为罗是凶手，罗百口莫辩，唯有逃到吕家避风头。这时他发现房客老大婆原来实行了易容术，他意识到吕正处于危险中，两人千方百计躲过老太婆的追杀。经过一番恶斗，罗佑天终于查处了真…(","章国明 (Alex Cheung Siuhing)","","","张国强","董骠","林建明",""
