"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","actor__001","actor__002","actor__003","actor__004"
"霸王别姬","1993","1291546","剧情","爱情","同性","9.6","段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。\n段小楼在认为该成家立业之时迎娶了名妓菊仙（巩俐），致使程蝶衣认定菊仙是可耻的第三者，使段小楼做了叛徒，自此，三人围绕一出《霸王别姬》生出的爱恨情仇战开始随着时代风云的变迁不断升级，终酿成悲剧。©豆瓣","陈凯歌","","张国荣","张丰毅","巩俐","葛优"
"千面天王","1993","1300409","喜剧","动作","","6.4","波子（郭富城 饰）是个年轻有位的警察，与懦弱的多春鱼（吴孟达 饰）是一对欢喜拍档，屡屡立功。有人扬言要绑架香港富豪李先生的儿子李泽洗（温兆伦 饰），由于李泽洗刚刚回港，无人认识。李先生便想让警员假扮自己的儿子。波子被委以了重任，刚好女友阿信（邱淑贞 饰）在李氏公司上班，阿信并不知道男友的卧底身份，只觉得自己的老板跟男友十分相似。与此同时，李泽洗青梅竹马的女友Jacky（张曼玉 饰）也在公司出现了。波子在两个女子之间周旋，十分艰苦。波子无奈，只要跟Jacky说出真相，但歹徒出现并抓走了阿信与Jacky，波子马上前往营救……©豆瓣","张乾文","","郭富城","张曼玉","邱淑贞","吴孟达"
"大昅嘢","","3574580","","","","","","","","","","",""
"神探干湿褛","1993","4022305","犯罪","","","5.7","李子雄原是警务署档案组主管，在一次清理资料时，发现警方多宗行动，皆被黑帮闻风先遁，觉得事有跷蹊，遂用电脑作出分析，并将涉嫌警务人员的资料记录在磁碟之内，并将这个发现，告诉女友刘嘉玲。嘉玲是记者之花，但她只钟情于子雄，为此，子雄常被其他警务人员讥笑，子雄因此毅然申请转职行动组，为了此事，嘉玲与他展开准战，并将子雄的电脑磁碟带返警署交还子雄。子雄得到情报，向安帮头目成奎安展开行动，但仍被安捷足先登，移去一切证据，子雄与安纠缠间，子雄中了一记冷枪，返魂无术。子雄死后阴魂不散，时常留恋在嘉玲家中。后来子雄巧遇神探胡大为，胡大为对子雄的不幸深表同情，一方面教子雄与人沟通，另方面协助他追查杀手和找出涉嫌出卖警队的神秘人……","赖建国","","陈观泰","刘嘉玲","李子雄",""
"逃学威龙三之龙过鸡年","1993","1302678","喜剧","","","7.4","百万富翁王百万（周星驰 饰）被人用冰锥插死，由于他与妻子汤茱蒂（梅艳芳 饰）的感情破裂，汤茱蒂便有最大的嫌疑。刚好周星星（周星驰 饰）的相貌与王百万几乎一模一样，警方便让周星星假扮王百万让汤茱蒂带回家，好让周星星能够从中寻找证据。当周星星进入王家后，发觉王百万的好友林大岳（黄秋生 饰）也有重大嫌疑。怎料林大岳也同样被杀害。案情疑点重重，周星星后来发现汤茱蒂跟王百万的女秘书有暧昧的关系。©豆瓣","王晶","","周星驰","梅艳芳","陈百祥","周海媚"
"城市猎人","1993","1295064","动作","喜剧","爱情","7.6","私家侦探孟波（成龙）与死去搭档的妹妹惠香（王祖贤）刚同报业大王今村商讨完寻找其失踪女儿清子（后藤久美子）下落的办法，就见清子与若干滑板少年在街道上左穿右插，一番穷追后，清子消失。惠香本想到孟波家后为孟波举办生日舞会，不想推门发现早已有七个美女正望穿秋水，一怒之下，惠香扬言会与表哥大脚板（单立文）在赌船“富贵号”上预支蜜月。\n孟波赶到码头欲向惠香解释，不想左找右找不见其踪影，此时“富贵号”启航在即，孟波混在鱼贯涌至的游客中上了船，清子以及装扮成性感女郎的香港警察芽子（邱淑贞）也在这条船上。三个女人一台戏，何况又加一个好斗、好色的孟波。©豆瓣","王晶","","成龙","王祖贤","邱淑贞","后藤久美子"
"新流星蝴蝶剑","1993","1298589","爱情","武侠","古装","6.8","明中叶，东西两厂明争暗斗不断。东厂曹公公手下养了三大高手，分别是孟星魂（梁朝伟饰）、高老大（杨紫琼饰）、叶翔（甄子丹饰）三大高手，亦有小王爷（林志颖饰）帮忙。高老大经营快活林，孟星魂与叶翔皆是其从小养大的结拜弟弟，三人亲如手足。叶翔暗恋大姐，大姐却对孟星魂情有独钟。孟星魂与八卦门掌门之女小蝶（王祖贤饰）是爱侣，小蝶亦已怀有孟之骨肉。四人面对纠缠的感情痛苦不已，而此时孟星魂亦与高大姐接下刺杀孙玉函（徐锦江饰），将西厂李公公控制下的聚贤山庄一网打尽的任务。到底任务能否完成？而四人的感情又将何去何从？©豆瓣","麦当杰","","梁朝伟","杨紫琼","王祖贤","林志颖"
"花田喜事","1993","1416728","喜剧","爱情","古装","7.6","富家子弟周通（许冠杰 饰）武功高强，到处仗势凌人，其妹妹周吉（吴君如 饰）也十分无理取闹。他们的母亲太君（许冠英 饰）一直想他们定性并能够成家立室。可是在周吉的新婚之夜，夫君林嘉声（黄百鸣 饰）忍受不了周吉而逃走了。自此，太君便茶饭不思，周通于是为母亲办寿筵冲喜，更想请 著名魔术师大围高栢飞（张国荣 饰）助兴。与此同时白雪仙（关之琳 饰）乔装出来逛花市，与高栢飞一见钟情。白父（吴孟达 饰）得知事情后以为女儿已怀孕，便找到高柏飞提亲，却误以为周通就是高栢飞。当周通见过白雪仙之后，便誓要得到美人。母夜叉（毛舜筠 饰）从逃难的高栢飞与雪仙口中得知了他们的遭遇后，便假扮新娘教训周通。周吉的丈夫林嘉声成为了状元，周吉想与夫君和好，却遭到了林嘉声拒绝……©豆瓣","高志森","","张国荣","关之琳","许冠杰","毛舜筠"
"东方不败风云再起","1993","1394324","动作","爱情","武侠","7.4","水师提督顾长风（于荣光饰）奉朝廷之命带领西班牙舰队探访黑木崖，过程中西班牙领队欲打开东方不败的棺木于视东方不败为偶像的顾长风发生争执。正在此时黑木崖上忽然现身一怪人（刘洵饰），可以以掌接西班牙火枪子弹。顾长风被怪人所救，却身受内伤，坚信其便是东方不败，坚持要一见其真面目，虽死无憾。怪人一偿所愿，让其看自己的庐山真面目，正是当年风采依旧的东方不败（林青霞饰）。顾长风告诉东方不败江湖上有很多人正在冒充他的名号为非作歹，东方不败于是决定留其性命，让他看着自己重出江湖。与此同时，东方不败旧时爱妾雪千寻（王祖贤饰）正率领着一群苗人打着东方不败的旗号与日本倭寇就海域问题谈判，雪千寻痴心不改，重组神教只是为了等待爱人归来......©豆瓣","李惠民","程小东","林青霞","王祖贤","王静莹","于荣光"
"男与女","","5500700","","","","","","","","","","",""
"射雕英雄传之东成西就","1993","1316510","喜剧","奇幻","武侠","8.7","金轮国王妃（叶玉卿 饰）与表哥欧阳锋（梁朝伟 饰）有染，为霸占江山，他们毒死了国王，但没找到传国玉玺。得知玉玺在前往九宫山找寻其师父求助的三公主（林青霞 饰）手里后，欧阳锋企图抢到手但没成功。糊涂国师（张曼玉 饰）在淫威下屈服，查出三公主的具体下落，欧阳锋乘火箭金靴追赶 ，却误脱落一只插死刚出关的王重阳（钟镇涛 饰），奄奄一息的王重阳恳求适逢路过的三公主找到其师弟周伯通（刘嘉玲 饰）代为报仇。逃到九宫山的三公主邀得师弟黄药师（张国荣 饰）与师妹（王祖贤 饰）相助，再加上前来寻找表妹的洪七（张学友 饰）、找到真心人才能成仙的段智兴（梁家辉 饰），一场与欧阳锋的生死恶战蓄势待发……©豆瓣","刘镇伟","","梁朝伟","林青霞","张国荣","叶玉卿"
"黄飞鸿之鬼脚七","1993","2338220","动作","","","6.4","人称鬼脚七的刘七（元彪 饰）本是大户人家出身的浪荡子弟，经牙擦苏（午马 饰）引荐，刘七得以加入宝芝林拜黄飞鸿为师，在前往广州拜师的轮船上，刘七见外国人仗势欺人出手教训，因此结识了报馆记者小菱（吕秀菱 饰）。在同一艘船上，刘七昔日的把兄弟沙胆明将鸦片藏在宝芝林药材中逃避检查，其时广州在管带金豹（任世官 饰）等官员治下大力禁烟，华商会长（元华 饰）与沙胆明一伙暗中经营鸦片，官商双方围绕鸦片斗智斗勇，将宝芝林卷入其中。自刘七加入宝芝林以来，众师兄弟感到麻烦不断，虽一再容忍但还是将刘七逐出了宝芝林。刘七满心愤懑，当得悉小菱与金豹是父女关系后，他决定联合金豹，打入华会长一伙，为自己雪耻……©豆瓣","午马","","午马","元彪","元华","吕琇菱"
"黄飞鸿之三狮王争霸","1992","1292704","剧情","动作","武侠","8","晚清末年，大清帝国摇摇欲倒。面对外敌来袭，慈禧太后鼓励民间习武抗敌。李鸿章为了逢迎太后，举办起一年一届的“狮王争霸”大赛。“狮王争霸”其实就是各们各派舞起狮子头，以武力争夺锦标。\n“狮王争霸”的消息一传出，各大门派纷纷摩拳擦掌，暗中招兵买马。一时，京城门派冲突四起。黄飞鸿（李连杰 饰）上书李鸿章欲取消“狮王争霸”，无奈李鸿章没有理会。无奈之下，黄飞鸿只好亲自参加“狮王争霸”，阻止各门派的自相残杀。\n“狮王争霸”终于开锣了！这天校场上尘土飞扬，各门派自造的形象各异、杀伤力极强的“狮子头”粉墨登场。黄飞鸿亲自率领鬼脚七等徒弟也赶到了……©豆瓣","徐克","","李连杰","关之琳","莫少聪","熊欣欣"
"东方三侠","1993","1304091","动作","奇幻","武侠","7.4","东东（梅艳芳 饰）与心靖（杨紫琼 饰）年幼时得到武林高手的收养，传授她们武功望她们能长大后行侠仗义。同是孤儿的两人情同姐妹。不料心靖在12岁时被抓走，从此失去音信。东东长大后下嫁了警官刘启文（刘松仁 饰），生下女儿后当上了贤妻良母。多年来她一直向家人隐瞒自己的身份，但 夫妻俩之间却因为这样变得疏远。\n当年心靖被清朝宦官陈公公抓走，用毒液洗去了她记忆后利用她的好身手干着坏事。陈七（张曼玉 饰）也是公公的手下，生性不羁，她中毒并不深，记忆不久便恢复了。她跟东东一般富有正义感但视钱如命。三人在一次偷取婴儿的争斗中相遇了，但心中的正义感令她们本来对立的角色演变成一直的方向，对付危害大众生命的女勇士。©豆瓣","杜琪峰","","梅艳芳","杨紫琼","张曼玉","刘松仁"
"富贵狂花","1993","1306113","喜剧","悬疑","","6.6","阿英（毛舜筠 饰）和阿烨（毛舜筠 饰）是情同手足的姐妹，却因为父母婚姻的破裂而被迫分离。阿烨跟随母亲来到日本，接受了良好的教育，出落成亭亭玉立的千金小姐。而阿英则跟着嗜赌成性的父亲生活，父亲最终因为欠下巨额赌债无法偿还而选择了自杀，阿英为谋生计流落到红灯区成为了应召女郎。\n一晃眼多年过去，为了寻找阿英，阿烨和丈夫结伴返回香港，哪知道阿英因为成为了一场凶杀案的目击者而遭到了凶手的追杀，最终被逼自杀。为了找到杀死妹妹的凶手，阿烨决定假扮阿英引蛇出洞，哪知道这一举动将她自己置于了阴谋旋涡的中心。©豆瓣","戚其义","","毛舜筠","张坚庭","黄秋生","鲍起静"
"香港也疯狂","1993","1305777","冒险","喜剧","","6.7","历苏——非洲土著，因一次乌龙救美而结识了香港到非洲拍狮子广告的SHIRLEY，岂料阴差阳错地被关进SHIRLEY所乘之回程飞机行李仓内，随机飞到香港。到达香港，历苏更误取了一袋走私钻石，成为歹徒追杀的目标。历苏寻获SHIRLEY，并在她家做客，而历苏所接触到的现代化繁荣都市生活，都显得格格不入，弄致笑话连场。SHIRLEY之助手JOHN乃一级无厘头男子，却与历苏对答如流，场面抵死过瘾。此时，SHIRLEY发现丈夫欠下巨款失了踪，逐至SHIRLEY被债主追索，SHIRLEY密友WINNIE之男友弃她而移民他去，弄至无家可归，而走私钻石贩亦已找到历苏，遂展开了一场惊险追逐……","钱升玮","","刘嘉玲","历苏","刘青云","叶童"
"廉政第一击","1993","1300112","动作","","","7","香港七十年代初期，当时还没有成立廉政公署，贪污情况泛滥成灾，民不聊生。警局沙展王一冲（狄龙 饰）为人正直不阿，不肯同流合污，因此而不容于其他同僚，在警局受到排挤。在一次行动中，王一冲的手下莫森（任达华 饰）甚至从背后开枪将他打成重伤。与此同时，港督麦理浩委派百里渠爵士调查香港的贪污情况，其助手马安妮找王一冲帮忙。经过调查，王一冲了解到莫森击伤自己也是出于无奈，莫森其实为势所逼，于是找到了莫森并在警校中挑选了一批精英学员，共同开始搜集贪污集团证据，打响香港廉政第一击！©豆瓣","林德禄","","狄龙","张曼玉","李子雄","任达华"
"风尘三侠","1993","1302939","喜剧","","","7.2","陈大文（梁朝伟 饰）有一名拍拖十年之久的女友（刘锦玲 饰），两人将近结婚。他与好友程仁（梁家辉 饰）、毛周朱（郑丹瑞 饰）住在一起。每个晚上程仁都会带不同女生回家，毛周朱则胆小如鼠，不敢与女性交往。\n他们三人都面临感情问题。陈大文认识了公关小姐阿cat（柏安妮 饰），因为不敢跟女友坦白，所以选择一脚踏两船。程仁本来有个固定女友惠芳（袁咏仪 饰），容忍了他的风流不羁已久，终于惠芳决定要远嫁美国去。至于毛周朱认识了一位男性朋友（周文健 饰）才发现自己是一名同性恋者。\n惠芳提出分手，程仁才发现自己一直在乎她。因为程仁一时糊涂亲吻了陈大文的妹妹阿珠（朱茵 饰），大文盛怒与程仁大打出手……\n饱受感情问题煎熬的众人，有能否有个美满的结果呢？©豆瓣","李志毅","陈可辛","梁家辉","梁朝伟","郑丹瑞","周文健"
"乌鼠机密档案","1993","1302084","动作","犯罪","剧情","7","肥肥胖胖的阿祥（郑则仕 饰）是一家瓦斯店的老板，他为人和善，乐观宽厚，拥有美丽的娇妻和可爱的女儿，生活美满幸福。某天他中途回家，却发现老婆和人通奸。阿祥虽然愤怒非常，却因性格关系自吞苦果。阿祥泡吧借酒浇愁，跟舞女Fanny（关咏荷 饰）大吐苦水，结果稀里糊涂地通过她聘请越南帮的杀手杀掉那对奸夫淫妇。次日阿祥酒醒回家，却早已忘记雇用杀手之事，于是眼睁睁地看着老婆和奸夫被人砍死。\n阿祥的噩梦尚未就此结束，他还面临着越南帮所要的高额酬金。情急之下，阿祥出逃广州，并在此遇到心狠手辣的乌鼠（任达华 饰）。乌鼠答应带领手下帮阿祥解决越南帮的问题，此举却让阿祥的生活彻底堕向万劫不复……©豆瓣","邓衍成","","郑则仕","任达华","李修贤","关咏荷"
"方世玉","1993","1297763","喜剧","动作","武侠","7.9","方世玉（李连杰 饰）原是城中纨绔子弟，好打抱不平。一日，他闻说外省富豪雷老虎在次设下擂台，比武招亲，又听讲雷小姐貌美如花，遂前往比武招亲。当方世玉过赢准备打赢未来岳母李小环时，一阵风吹过，将台上坐着的小姐的盖头吹了起来，他发现竟是一名丑女时，马上故意认输，溜之大吉。\n方世玉的母亲苗翠花（萧芳芳 饰）听说儿子擂台上败下阵，自觉颜面无光，于是化身方世玉的哥哥方大玉前往打擂，一举打败了李小环。岂料雷老虎当晚即派人来接方大玉成亲。世玉为救母亲，只有代替母亲前往雷家成亲。\n母子两计划新婚之后趁回门的时候一起出逃，岂料方世玉的父亲方德回来了！©豆瓣","元奎","","李连杰","萧芳芳","陈松勇","李嘉欣"
"笑侠楚留香","1993","1295061","喜剧","动作","","5.9","楚留香（郭富城 饰）风流倜傥，武功高强，更有三位娇巧师妹红袖（袁咏仪 饰）、蓉蓉（叶蕴仪 饰）、甜儿相伴。其师独孤求败（徐少强 饰）为应对同少林的十年一战之约，派出楚留香与少林高徒无花（邱淑贞 饰）对决。楚留香在比武中手下留情使无花感佩，更于路结识胡铁花（温兆伦 饰）和杀手中原一点红（袁洁莹 饰），为了追随神秘女子昙花（邱淑贞 饰），楚留香与师妹等人失散。与此同时，十七年前败于中原三大高手的东瀛武士天枫十四郎遗孤蝙蝠公子窃得神水宫主（张敏 饰）宝物天一圣水，他先后杀害独孤求败、魔教教主、少林方丈，并将楚留香重伤，在江湖中掀起血雨腥风。得到无花相助的楚留香赶赴神水宫，与蝙蝠公子最后决战……©豆瓣","王晶","杨伟业","郭富城","邱淑贞","张敏","张智霖"
"审死官翻案","1993","1301238","喜剧","","","5.5","秀才宋世杰乃著名状师，但因数年来妻子红英年头产子，年尾夭折，人说皆因杰任状师，颠倒事非，以致折损阴德，故红英力劝杰封笔，二人开设悦来客栈作生计，从此不理公堂事。一日，杰与妻泛舟湖上，救了自杀少妇杨秀珍，珍称夫姚二被嫂姚田氏毒害，自己则险被嫁祸而逃了出来，但又无依无靠，致寻死路。英未嫁时乃绿林英雌，至今仍是义气女子，决定为珍申冤，设计游说杰重操旧业。","梁本熙","","黄光亮","关咏荷","陈妙瑛","周仁杰"
"马路天使","1993","1299223","","","","5.5","","钟敏强","","莫少聪","李丽珍","方中信",""
"惊魂记","1993","30149751","","","","0","《24小时惊魂记》（英语：24 Hour Psycho）是一部由英国艺术家道格拉斯·戈登于1993年创作的装置艺术。戈登把希区柯克的恐怖电影《惊魂记》以每秒两帧的速度重新播放，使得原来片长109分钟的电影变成1440分钟，即整整24小时[1]。戈登解释此作的用意是“让观者从眼前所见的事物引发脑海中回忆，来探索想像与回忆共同编织成的视觉记忆”，因事情在过去一段时间后，印象也会渐渐模糊起来[2]。","道格拉斯·戈登","","珍妮特·利","","",""
