"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","director__003","actor__001","actor__002","actor__003","actor__004"
"摩登保镳","1981","1302512","喜剧","","","8.2","邓小龙（许冠英 饰）从小就为人正直、乐于助人，他的志愿就是长大了能当一名除暴安良的好警察。无奈天意弄人，他因身材矮小，而且天生色盲，于是被警局拒之了门外，他只好去保安公司当了一名护卫员。保安主管周世昌（许冠文 饰）是一名老油条，为人尖酸刻薄、贪生怕死。下属阿Sam（许冠杰 饰）一早就看他不顺眼，只是有冤无处申。\n这次，公司的太子王平凡从国外留学回来，假扮保安混进了公司考察情况。不久阿Sam和小龙就因工作出色而获得提拔，而周世昌却被剥夺了主管之位降职任用，还有几个月就可以退休享受的他会为了退休金忍下这口恶气还是会另有所谋？©豆瓣","许冠文","","","许冠文","许冠杰","许冠英","冯淬帆"
"追女仔","1981","1756788","喜剧","爱情","","6.5","罗伯图（石天 饰）和母亲生活在纽约的唐人街，年届三十的罗伯图风流成性毫无成家的打算，老母不能忍受他的浪荡下了逼他与中国姑娘结婚的最后通牒。罗伯图只得返回香港，投奔姑妈，与表弟张大个儿（曾志伟 饰）展开追女计划。大个儿痴迷女明星林小霞（张天爱 饰），存心在表弟面前炫耀的罗伯图展示国外追女先进经验，以保龄球对决赢得接近林小霞的资格，二人自此打得火热，大个儿中计反被晾在一边。餐厅服务生阿花（刘蓝溪 饰）对罗伯图一见钟情，后者也借机与阿花接触，岂料被林小霞看破，拂袖而去，罗伯图尽力挽回和女明星的关系，同时阿花也在父亲的教授下对罗伯图开展了一场倒追好戏。©豆瓣","麦嘉","","","石天","张天爱","曾志伟","刘蓝溪"
"鬼马智多星","1981","1302737","喜剧","","","6.7","30年代的香港，社局动荡，黑帮林立。香港大亨胡老头这日找到私家侦探哎吆（林子祥 饰），要求其调查胡太太，因为他觉得胡太太这些天表现奇怪。哎吆调查后发现，原来是坏蛋神父卡邦派（麦嘉 饰）人勾搭上了胡太，意欲偷取胡老头价值连城的股票。他们这一计划遭哎吆撞破后，四处追杀哎吆。\n哎吆亡命之际，又发现了胡老头其实并非什么香港大亨，只是一名老千，他来香港的目的就是要骗卡邦等流氓的钱。胡老头邀请哎吆入伙，一起设局骗卡邦。和好友探长罗宾（泰迪•罗宾 饰）商量后，哎吆决定来个将计就计。©豆瓣","徐克","","","岑建勋","曾志伟","林子祥","麦嘉"
"鬼打鬼","1980","1422908","动作","喜剧","奇幻","7.4","车夫张大胆（洪金宝 饰）自称胆识过人，神鬼不怕，经常与别人打赌练胆。某天他提前收工，发现老婆（梁雪薇 饰）与别人私通，而对方竟是大胆的雇主谭老板（黄蝦 饰）。谭老板为掩盖真相，派师爷（太保 饰）寻茅山道士钱真人（陈龙 饰）设坛杀害大胆。\n钱真人设下圈套，借打赌之名将张大胆诱至马家祠堂，施法唤出僵尸追杀大胆。钱之师弟许真人（钟发 饰）不满师兄图财害命、伤天害理恶举。他暗中协助大胆，使之最终逃过此劫。然而谭老板祸心不死，一计不成，再施一计，非置大胆于死地不可……©豆瓣","洪金宝","","","洪金宝","钟发","林正英","午马"
"勇者无惧","1981","2130143","喜剧","动作","","7.4","冀北白额虎（袁信仪 饰）身背命案，亡命广府，在一家戏班躲藏，却因受到刺激再开杀戒。胆小如鼠的小胆（元彪 饰）被其一路追杀，险些丧命。\n一代宗师黄飞鸿（关德兴 饰）为人宽厚，行侠仗义。在某字号开张之际，黄师傅携弟子常宽与狮吼堂拉开架势，上演一处精彩的南北狮斗。最终黄师傅得胜，狮吼堂遂将其视为眼中钉，必欲除之而后快。几次暗算失败，狮吼堂找到白额虎助拳。最终黄师傅受伤，常宽身亡。当此危难之时，小胆挺身而出，与白额虎决一死战……©豆瓣","袁和平","","","元彪","梁家仁","关德兴","袁信义"
"蛊","","2294458","","","","","","","","","","","",""
"滑稽时代","1980","1299207","喜剧","动作","剧情","7.8","战争让整个世界都变得满目疮痍，无家可归的流浪汉（石天 饰）行走在路上，遇见了可怜的孤儿（汪伟 饰）正在行窃。原来，孤儿受制于冷酷无情的恶霸（麦嘉 饰），如果不听他的话，他就会将他打的遍体鳞伤。流浪汉同情孤儿的遭遇，于是收留了他。之后，流浪汉邂逅了贫穷的歌女（王秀文 饰），同行的就这样变成了三人，流浪汉和歌女之间，甚至还生出了一丝丝罗曼蒂克的可能。\n恶霸得知流浪汉带走了自己的赚钱工具，非常的愤怒。他不仅掳走了孤儿，还带走了歌女。为了拯救两人，流浪汉和恶霸的宿敌醉汉（午马 饰）一起深入虎穴，想要将坏人绳之於法。©豆瓣","吴宇森","","","李海生","麦嘉","石天","黄百鸣"
"欢乐神仙窝","1981","1940694","儿童","喜剧","","7.2","民国时期，神偷多只手（石天 饰）纵横天下，他的偷技高超，鲜逢敌手。更为难得的是，多只手是一个侠盗，专门做劫富济贫、惩恶扬善的义举。他还收养了七个无家可归的孤儿，和他们一起建立一个快乐的神仙窝。他还有个梦想，能早日攒够钱办孤儿院。\n秃头警察包大鼻（麦嘉 饰）得罪了新来局长（午马 饰）的老丈人，被罚去抓多只手。两人你来我往，精彩过招，期间包大鼻也渐渐为多只手的义胆所感动，不忍将其逮捕，而多只手也不愿为难包大鼻，自愿束手就擒。这可急坏了神仙窝的七个孩子……©豆瓣","午马","","","石天","麦嘉","午马",""
"千王斗千霸","1981","1864196","动作","剧情","","6.8","罗四海（谢贤 饰）是名震江湖的千王之王，一日，他偶遇了在人前自称小千王的青年雷力（汪禹 饰）。虽然雷力自称小千王冒犯了四海，但是四海见他天资聪颖，有心栽培他成长，于是允许他跟着自己一起闯荡江湖。上海大亨张烈（陈观泰 饰）赌术出众，在上海开设了赌场，这引起了当局情报机构的怀疑，怀疑他就是在此设立了日本特务组织的千霸。于是，情报人员郭胜派出手下将四海带来，亲自要求他为国立功，利用他的千术在赌桌上挑战张烈，并伺机将他消灭。一场你死我活的争斗展开了。©豆瓣","王晶","","","谢贤","陈观泰","黄锦荣","汪禹"
"武馆","1981","1474702","剧情","动作","古装","7.8","舞狮在南方武馆非常流行，并自有其规矩，如果在舞狮中逾矩，则很容易引起武馆之间的争执。郑天寿武馆因舞狮遭到挑衅与陆正甫武馆结怨，另一武馆主黄麒英（谷峰 饰）与儿子黄飞鸿（刘家辉 饰）出面调停，却未起作用。黄飞鸿与郑氏武馆的王隐林（麦德罗 饰）互为好友，二人约定与第三方较量以便分出彼此武功高下，岂料王隐林之妹菊英（惠英红 饰）匆忙中造成误会，导致王隐林受伤，菊英又二话不说向洪飞鸿寻仇……这边的误会刚解除，陆正甫武馆的公子陆山豪用计将王隐林重伤，而陆正甫将之前打伤王隐林的精武门高手单雄（王龙威 饰）迎入武馆，图谋利用单雄的北派功夫打击黄麒英、郑天寿等武馆同行。此时黄飞鸿向陆正甫讨要说法，未知吉凶如何……©豆瓣","刘家良","","","刘家辉","谷峰","惠英红","麦德罗"
"忌廉沟鲜奶","1981","1902733","剧情","","","7.4","小玲（李燕燕 饰）自小父母离异，母亲希望深造，因此带着她移民，落魄的父亲则带着弟弟留在香港，姐弟两个哭着分开，一别多年。长大后回到香港的小玲始终牵挂弟弟和父亲，却打听不到两个人任何讯息。恰好小玲男友杨光（艾迪 饰）在做社工，最近帮助一个名叫丁天生（严秋华 饰）的跛脚少年，在少年家里发现小玲一家四口的照片。认准天生是小玲失散的弟弟丁当，杨光想促使姐弟重逢，并且帮助丁天生重新接受教育，脱离颠簸流离的生活，但丁天生非常倔强，不肯与姐姐和母亲相认。此时丁天生的父亲已经身患肺病住在疗养院，天生去看他时，总会带着忌廉汽水与鲜奶，两人一起兑起来喝，这是从小父亲带给他的美味。父子俩的多年境遇，让天生始终无法原谅抛弃他们的母亲……©豆瓣","单慧珠","","","艾迪","李燕燕","叶德娴","严秋华"
"阿灿当差","1981","10573492","剧情","","","0","本片在内容上与传统的警匪片大异其趣。在形式上，此片亦放弃了紧张火爆的感官刺激，改以亲切自然加上人情味的喜剧风格来取悦观众。两位男主角廖伟雄和郑则仕都是电视出身的谐角，导演罗文将小市民意识套入了警察电影之中，将警察的英雄形象拉低变成凡人，同时以大量的篇幅讽刺香港社会的现像，像这种模样的警察喜剧，在港产电影中前所未见。","罗文","","","廖伟雄","郑则仕","黄造时","陈欣健"
"老夫子","1981","4223337","喜剧","动画","","8.3","《七彩卡通老夫子》描述老夫子及大蕃薯向一位武术高手拜师学艺的故事。片中描述老夫子遇见一帮不良份子，向一位武术高手挑战，而激发起老夫子要拜师学艺。而老夫子，大蕃薯及秦先生亦不其然地牵涉到一宗劫案里，造出了不少搞笑及戏剧性的变化。最后他们都安然无恙，那劫匪们当然难逃法网呢！","谢金涂 Gam-Tiu Che","蔡志忠 Chih-Chung Tsai","胡树儒","陈曙光","黄端","金贵","武莉"
"凶榜","1981","1416301","恐怖","","","7.1","妻子小兰（余绮霞）怀孕之后，张劲强（秦祥林）每份工所做时长都很有限，考虑到自己学历低、技能少，他并没多在意，只在又一次失业后更加勤力地找新工，无奈运气不佳。两人为小兰越来越大的肚子发愁之际，一张无端端出现的报纸将张劲强领到一幢大厦成了保安，汉叔（詹森）、肥仔（郑则仕）、香港先生（王青）及小丁（许炳森）是他的同事。开工伊始，他在听汉叔交代相关工作时，发现电梯有异况，但汉叔只要他做事大胆莫疑神信鬼。\n不久，他与肥仔夜间巡逻时，被汉叔告知小兰来急电，因等不及入厕的肥仔独自乘电梯下楼，不想电梯失控直将他带到地下室，骇人一幕出现。惊魂甫定，他将所见讲给同事听，大家都不相信，因为随后下来的肥仔并无异样，而汉叔也并未通知他下楼。紧接，一帮人围在监控室吃宵夜，说到刚刚的事，香港先生表示任何状况都吓不倒他，话音未落，电路即出现异常，香港先生也被一块狗骨头卡到，送至医院不治身亡。\n香港先生出殡之日，法师兼风水先生（岳华）瞅见张劲强瞬间吃了一惊，再见汉叔则暗叫不好，但他未作声张，不久汉叔毙命于自家屋中。汉叔丧礼上，张劲强告知肥仔他们工作的大厦是冤魂集结处，并拿出旧报纸作证。随后法师入室行礼，并在与他们攀谈时要了张劲强的生辰八字，他原是最易被鬼魂上身之人，但却未被鬼上身。肥仔替张劲强送小兰去医院检查，大狗狂吠不止；医生替小兰体检，感觉到一丝异常；小兰越来越奇怪的举动……越来越多迹象表明，小兰所怀的，是鬼胎。©豆瓣","余允抗","","","秦祥林","余绮霞","岳华","王青"
"魔剑侠情","1981","1303372","动作","剧情","","7.1","本片改编自古龙笔下经典小说《多情剑客无情剑》，由楚原导演兼编剧，狄龙饰「小李飞刀」李寻欢；在新派武侠片高潮时期，「古龙．楚原．狄龙」为著名的铁三角。楚原是将古龙武侠小说搬上银幕最多的导演，亦被古龙公认楚拍片比自己写书更快，而狄龙则是主演楚原影片最多的男星。另有傅声饰「左手神刀」荆无命，尔冬升饰大侠阿飞，井莉饰李寻欢表妹林诗音，谷峰饰金钱帮帮主上官金虹，楚湘云饰迷倒阿飞的林仙儿。\n本片号称楚原导演的第一百部，仍是他近年例牌的古龙式武侠片，当然谈不上突破性新意，不过楚原无疑拍得比较落力。如果你对古龙式忧郁醉侠、楚原式""枫""花雪月，以及两者的新旧综合体文艺腔尚未厌倦的话，此片倒也有点娱乐性。楚原以前拍过《多情剑客无情剑》（即小李飞刀），不过只是拍到原着的前半部，本片是后半部，电视则上下两辑都已播过。\n小李飞刀，例不虚发，他又是文质彬彬的君子，极重情义，因而轻易上当，失家失恋，成为酗酒怀旧的""呕血诗人""，这病君在武侠世界的确有点特别。\n上集的大波折过去后，本片开始时，狄龙扮演的小李悄然回到爱侣故园之旁隐居，遥对窗中倩影，而不相见，直至发生危机，小李才露面相告，并且挺身赴难。旧情人的重逢，是在雪夜，楚原拍出一点哀怨情调，而全片都有着此种无可奈何。\n这段旧情在本片只是点到即止，并没有拖泥带水，全片仍以奇情冒险为主。有不少高手为争""武林排名""而找小李决斗，小李又要对付恶势力庞大的帮主谷峰，因此比武场面甚多，并不沉闷。\n情节的主线是小李找寻旧友阿飞相助，但阿飞被阴险美女林仙儿所迷，简直变成废人，小李于是揭破这女人的假面目，并且设法使阿飞振作起来，剧情不乏趣味。若说上集描写友情被骗的话，本片就是描写爱情被骗。\n尔冬升扮演被纯情迷惑了的阿飞，楚湘云扮演林仙儿（上集是井莉），此外，岳华和刘永串演好名而义气的高手，罗烈则扮演鬼马浪人，形象都搞得不错。当然，更突出的是傅声扮演的帮会杀手，他的右手之谜颇有意外戏剧性。\n本片剧情和人物都丰富，不过故事不及上集完整，而且未看过上集或原着的话，对人物关系就有点莫名其妙。幸而楚原把原着大加删削，剧情发展尚算流畅热闹，而布景和摄影也特别用心，视觉上相当瑰丽。\n然而严格来说，楚原虽然落力，但显着地缺乏新招了。武打方面尤其熟口熟面，狄龙分别与岳华、刘永的比武，尚有点巧妙，其他则越搞越乱，最弊的是两大高手谷峰和傅声合战狄龙，竟然笨手笨脚，全无高招，完全不合水平。小李飞刀飞到象乒乓球似的折射，也有点失真。\n楚原拍古龙其实已经颇为麻木，只是勉强打起精神，但有时会一下子失去感觉，象针刺麻醉似的。前作《英雄无泪》的赵雅芝，自斩一腿，仍能从容地单腿跳走，今次尔冬升临尾被长剑贯胸，也跟没事人一样生猛，大讲大做，此乃导演感官麻木的最佳证明。本片结尾就此散晒。","楚原","","","狄龙","傅声","尔冬升","井莉"
"天真有牙","1981","4135764","剧情","","","7","一场家庭的悲剧最终伤害的还是子女。憨直的新界鸡场主人马牛羊与独女妹头相依为命。妹头的生母罗安妮用尽办法想夺回妹头的抚养权……","江龙","","","卢海鹏","胡燕妮","郑则仕","黄仪贞"
