"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","director__003","actor__001","actor__002","actor__003","actor__004"
"天煞","1986","19897686","剧情","恐怖","","5.7","小乔（丽莎 饰）是一位小有名气的歌星，在当红时期邂逅了名为赵怀安（黎汉持 饰）的男人。单纯善良的小乔深深的爱上了赵怀安，但赵怀安看上的只有小乔的钱而已。在赵怀安的甜言蜜语攻势下，小乔将自己的所有积蓄都交给了他保管，赵怀安找来了降头师施法害死了小乔，不仅如此，还让降头师将小乔的魂魄打入十八层地狱永世不得超生。\n一晃眼多年过去，赵怀安结了婚，建立了自己的工厂，生活过的幸福又富足，在地狱里的小乔一直没有忘记心中的仇恨，她想方设法找到了小导游刘君献（袁步云 饰），在听闻了小乔的冤屈后，刘君献决定帮助小乔复仇。©豆瓣","彭龄","","","黎汉持","丽莎","关海山","袁步云"
"夺宝计上计","1986","1299598","喜剧","犯罪","","6.6","故事发生在一九五零年代的泰国.一桩黑市珠宝买卖之中,探员区肥威被黑社会头子查天雄所杀.伟的女儿真真誓要代父报仇.真真得伟之好朋友耶大歌,梅菜及豆豉之帮助,联手用计对付查.此时,查亦雇用贼人偷取自己的珠宝向保险公司诈取保金,却被苗等捷足先登,取去珠宝.苗等偷龙凤,将假珠宝埋在田间,并广布消息,引查到来......","陈欣健","","","姜大卫","吴耀汉","庞秋雁","潘宏彬"
"代客泊车","1986","1918021","喜剧","","","6","士丹尼是一个精灵开朗的青年，因厌倦乡间养猪生涯，毅然前往尖东一酒家任代客泊车之职，并与同事阿文结成好友。士丹尼穿针引线使阿文结识到其暗恋已久的艳女郎史提拉，一改其灰暗人生观。另一方面，士丹尼鼓励同事勤奋工作，以礼貌笑容博取更多小账，但却因部份害群之马盗窃客车内之贵重物品及换取汽车零件，引玫车主不断投诉，士丹尼与阿文遂施计将不良份子绳之于法，更无意中揭破杨大爷利用汽车贩运伪钞之阴谋。","麦灵芝","","","李修贤","胡因梦","黄柏文","杨群"
"两公婆八条心","1986","1828616","科幻","惊悚","","7.5","(一) 本來面目  陳武是著名的科學復顏專家, 但這次交來的頭骨很不完整, 在束手無策間, 來子一位冒充警務人員的Winne, 原來死者丈夫興Winne設下的一個殺妻騙保險金的陷阱....\n(二)龍的種  若干年後, 生兒育女是由電腦決定, 淑嫻(曾志偉), 龍剛(余安安)渴求哲嗣以繼香燈, 但社會規定生育必須用科學家,工程師等精英之精子, 以確保新一代體魄強健,聰明伶俐. 最後, 淑在百般懇求下, 終獲醫生同情, 試植胚胎於自己體內, 結果懷胎十月, 誕下麟兒.\n(三)雙生傷生  僮內柔外剛, 不能接受丈夫提出分手, 暗地在熱茶放下迷葯, 在殺夫前, 丈夫道出原來僮有孿生姐妹藍, 僮於夢中鵠一男, 正是藍之男友, 僮不能自拔, 追尋來港, 殺藍並冒興該男成婚, 在此時其夫又道出原來他亦是孿生兄弟頂色.....","曾志伟","卢坚","张坚庭","曾志伟","余安安","陈友","渡边良子"
"猪仔出更","1986","4889493","","","","0","学警趣事","黄华麒","","","周海媚","李家声","黎明",""
"鬼马朱唇","1986","4188294","喜剧","爱情","","0","音乐家西门(蔡枫华饰)生性风流不羁，乘带领乐团赴韩演奏之便，探望开设跆拳道馆之好友大口(王青饰)。大口投其所好，赞成他在韩国尽情开心，唯独不能打其妹阿淑(李玄丽饰)主意。但机缘巧合之下西门巧遇阿淑，一见钟情，阿淑更以身相许。谁知西门对阿淑只是抱玩弄心情，西门假称要返香港，实则回到大口处向其炫耀其风流史。恰巧阿淑来到探望兄长，闻言伤心欲绝，大口却气到七窍生烟。淑独自躲到雪山，西门冒雪崩危险寻觅阿淑。结果，两人几经艰辛脱险后，有情人终成眷属。","黎大炜","","","蔡枫华","王青","古珍珍","李玄丽"
"淑女也疯狂","1986","5093296","剧情","爱情","","0","","陶侃","","","陈佩茜","艾迪","范繼堯","邵音音"
"八喜临门","1986","2335100","剧情","喜剧","家庭","7.2","老吴（吴耀汉 饰）是一名妇产科医生，他同妻子（冯宝宝 饰）结婚多年，感情依然美满如初。尽管生活不易，妻子和孩子们又要求多多，但老吴还是凭借着自己的努力不断的满足着他们提出的一个又一个愿望。\n为了丰富业余生活，老吴的妻子参加了话剧团，让老吴没有想到的是，话剧团的导演（楼南光 饰）竟然对妻子一见钟情，展开了热烈的追求。而一个误会又让老吴以为妻子接受了导演的追求，红杏出墙，这可急坏了老吴。老吴找到了自己的孩子们，让他们给自己出谋划策，想要挽回妻子的芳心，于是，在话剧演出中，一场充满了意外和笑料的机智闹剧就此上演。©豆瓣","冯世雄","","","吴耀汉","冯宝宝","吕方","罗美薇"
"富贵列车","1986","1300508","动作","喜剧","西部","7.4","民国初年，上海至成都的铁路通行了。首班列车的启程引起了黑帮注意，因为上面全是富贵人家，于是他们勾结山贼准备中途劫车。专门偷鸡摸狗的程启天（洪金宝 饰）也打上了这趟列车的主意，为了能摸上列车，他决定炸毁家乡汉水镇前的一段铁路，然后乘机上车。不料程启天被当地保安队长曹卓坚（元彪 饰）认出他是通缉犯，于是想捉拿他归案。程启天侥幸躲过追捕，顺利炸毁了铁路。这正好帮了山贼一个大忙，他们开始团团围攻汉水镇。眼看家乡即将毁于山贼之手，程、曹两人决定联合起来共抗强敌。©豆瓣","洪金宝","","","洪金宝","钟镇涛","关之琳","元彪"
"最佳拍档之千里救差婆","1986","1294350","动作","喜剧","","6.9","纽西兰老科学家发明一个名为“天狼星”的三棱镜，它可将人的潜能激发，形成难以置信的超能力。但这项发明很快被当地一黑社会组织盯上，他们袭击实验室，杀害老科学家。危急时刻，天狼星被参加实验的青年金刚（许冠杰 饰）和科学家的女儿莎莉（叶倩文 饰）带出纽西兰，来到香港。\n返港后，金刚寻求侦探光头佬（麦嘉 饰）的帮助，谁知黑帮尾随而至，虏走光头佬的妻子贺警司（张艾嘉 饰）作人质。为救爱妻，光头佬带着儿子，协同金刚赶至纽西兰……©豆瓣","林岭东","","","许冠杰","麦嘉","张艾嘉","叶倩文"
