"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","actor__001","actor__002","actor__003","actor__004"
"凶猫","1987","1302648","喜剧","奇幻","恐怖","6.4","一群建筑工人无意中唤醒被封印于地下的九命猫妖，当夜猫妖窜入范氏集团大厦，大开杀戒。茅山传人张大少（刘家良 饰）一族世代对抗猫妖，每五十年封印其一次，迄今历四百年，张大少继承最终封印猫妖的使命，但他因罹患癌症时日无多……张大少感知猫妖出世，遂展开追杀。范氏集团司机罗剑明（郑浩南 饰）当夜逃过一劫，为自保拜张大少为师。\n猫妖吸食人血功力大增，先后附身郑氏集团总裁与总裁助理天娜（徐淑媛 饰）。张、罗二人除妖反被胡警司（王晶 饰）以伤人罪名扣留，张大少手中三支用来消灭猫妖的符箭也仅剩一支。猫妖转守为攻，让张大少一脉付出了灭门代价。©豆瓣","余允抗","","刘家良","王晶","郑浩南","邓丽盈"
"表哥到","1987","1306677","喜剧","奇幻","恐怖","6.5","吴德大（吴耀汉 饰）早年移民英国，开餐馆为生。他为人刻薄，经常斥责羞辱非法移民英国的表弟小马（午马 饰）。两人争吵时口无遮拦，导致阿马被遣送回港。\n阿马返港后与小勇（钟镇涛 饰）、Q仔（孟海 饰）、肥婆（李志杰 饰）、史太保（太保 饰）四个表弟供职同一家酒楼，因阿马的女友嫁给别人而引发一场误会，导致表兄弟们同时丢掉工作。众人失意之时，突然接到德大即将返港的消息。阿马誓死不愿和阿大住同一间屋，四兄弟突然想起他们曾将公寓一间房子租给一位化妆小姐玫瑰，而玫瑰已经许久不归。万般无奈之下，他们决定打扫玫瑰的房间，迎接表哥大的到来。但是……©豆瓣","午马","","吴耀汉","钟镇涛","午马","黄韵诗"
"僵尸少爷","1986","3067314","喜剧","恐怖","","6.2","调皮捣蛋的小僵尸乃僵尸家族的宠儿，某夜突然失去踪影，家族成员四处寻找。僵尸小爷途中遇一青年阿贵，阿鬼明知他非人类，欲将他送回家。有一茅山道人，专门利用夜间偷刚死的尸体，炼成僵尸，为非作歹，无意中得知阿鬼有一僵尸仔，乃千方百计欲夺取....","刘泳基","","董骠","林秀君","小奇奇",""
"卫斯理传奇","1987","1302799","动作","冒险","科幻","6.6","著名作家、冒险家卫斯理（许冠杰 饰）在埃及游历时，受到了大富翁霍普的请托，后者请卫斯理寻找他的师兄高大威（泰迪罗宾 饰）。卫斯理在收到高大威主动寄来的信件后，赶赴尼泊尔与其汇合。高大威其时正为青帮龙头白奇伟（狄龙 饰）寻找传说中的喜马拉雅龙珠，眼看成功在即却身陷“邪教”的追杀中，卫斯理帮助高大威潜入宗教内部夺得龙珠，在撤出时飞机失事高大威不知所踪，逃跑失败的卫斯理被带到只有五岁的小佛爷面前，卫斯理受小佛爷感化，承诺追回龙珠，以延续此一教派。\n返回香港的卫斯理再遇霍普助手，并拒绝向对方交出龙珠，第一时间赶到白公馆，白奇伟之妹白素（王祖贤 饰）是卫斯理的书迷，在白素帮助下，卫斯理取得龙珠，但是一场三方围绕龙珠的争夺战才刚刚开始……©豆瓣","泰迪·罗宾","","许冠杰","王祖贤","泰迪·罗宾","狄龙"
"龙兄虎弟","1986","1299858","动作","冒险","喜剧","7.2","伯爵矢志要将失散八百年的圣经所记载的用来对抗魔鬼的五件“上帝的武装”一一寻回，经过一番努力，他寻得包括亚洲飞鹰Jackie（成龙）在非洲土人手中夺得的“圣灵宝剑”等三件，而另外两件在一伙恐怖分子手中。\nJackie的朋友Alan（谭咏麟）的女友Laura（关之琳）在时装表演中遭僧侣打扮的恐怖分子绑架，对方期望用她换得所缺的“上帝的武装”。 Alan求助Jackie，Jackie以会从恐怖分子手中抢过来伯爵所缺的那两件“上帝的武装”作担保，从伯爵手中借出他所拥有的三件。Jackie、Alan以及伯爵的女儿西行欧洲，展开救人夺宝的行动。©豆瓣","成龙","曾志伟","成龙","谭咏麟","关之琳","劳拉·福纳"
"海市蜃楼","1987","1303492","动作","冒险","","7.5","故事发生在20世纪30年代，一次偶然中，摄影师唐廷轩（于荣光 饰）在沙漠之中目睹了海市蜃楼的壮观景致，并且看见一名骑着白马的红衣女子向他款款走来，女子的美艳吸引了唐廷轩的注意，在拍下一张珍贵的照片之后，女子消失了。回家后，女子的样子依然深深地印在唐廷轩的脑海里，为了找到女子，他和好友毛德威（徐小明 饰）结伴，重回大漠。\n一场意外中，唐廷轩一行人遭遇了土匪，在与土匪头子的激烈交战中，唐廷轩意外的发现此人不是别人，正是自己日思夜想的神秘女子沙洛娃（帕夏·乌买尔 饰），震惊之下疏于防范，唐廷轩成为了沙洛娃的俘虏。©豆瓣","徐小明","","于荣光","徐小明","帕夏·乌买尔","曹荣"
"富贵逼人","1987","1302927","喜剧","家庭","奇幻","7.5","骠叔（董骠 饰）在电视台当新闻主播，一家五口都靠他糊口，生活拮据。妻子骠婶（沈殿霞 饰）十分热衷买六合彩，总期待着有中奖的一天。\n他们每天都梦想自己能变成富人，搬到宽大的屋子居住。他们终于中了六合彩头奖，本来一家人想好好利用这一笔横财，没想到他们存放巨款的银行突然倒闭了。更祸不单行的是，他们变富人的消息招来了恶手——他们的小女儿被绑架了，全家人着急得不得了。他们又变回了穷人，该如何拯救至亲呢？©豆瓣","高志森","","沈殿霞","董骠","曾志伟","姜大卫"
"龙虎风云","1987","1299658","动作","犯罪","剧情","7.6","本片是周润发早期英雄片的代表作之一。一夜，一名警官在搜查红灯区时，却意外遭枪击身亡，警局高层意识到了这里潜藏着一班不寻常的匪徒。刘帮办联系上了警局一直部署在江湖的卧底，也是他的外甥――高秋(周润发 饰)，要他尽快打入这帮匪徒的内部，获知他们的犯罪计划。\n高秋化身作枪械贩子，和匪首南哥与他的手下阿虎（李修贤 饰）取得了联系。刘帮办恐自己的外甥出意外，派人暗中跟踪。不料歪打正着反而因为警方的派人跟踪令高秋顺利取得了匪帮的信任，南哥正式拉高秋一起加入他们的抢劫金铺的计划。在与阿虎的点滴接触中，高秋发现自己与他逐渐建立了兄弟情谊。一边是兄弟情谊，一边是社会公义，高秋将如何取舍?©豆瓣","林岭东","","周润发","李修贤","孙越","吴家丽"
"欢乐5人组","1987","3060400","喜剧","","","5.8","谢夏利（冯淬帆扮）遭以细伟为首的四个男女青年绑架（由尔冬升，罗美薇等人扮），在绑架过程中谢发现细伟等人不是坏人，只是生活所迫才绑架他，所以谢打算付赎款。但是却没想到妻子与好友外遇不打算付赎款，还阻止警方的介入。细伟等人看到这一情况，同情谢并决定放弃绑架。而美女督察（由高丽虹扮）却不打算放弃案件，并抓捕了细伟等人，而这时谢却力保细伟他们，并撤销案件，同时希望细伟等人帮助他向好友复仇......","冯淬帆","","尔冬升","罗美薇","冯淬帆","高丽虹"
"英雄好汉","1987","1306140","剧情","动作","犯罪","7","阿勇（万梓良饰）、阿国（刘德华饰）兄弟俩浪迹香港街头，投靠了黑社会邦主剂哥（周润发饰）。由于阿国得到剂哥赏识，引起阿勇妒嫉，兄弟间产生隔阂。阿勇倒向朱老大，阿国却远去新加坡另谋生计。若干年后，阿勇羽翼丰满，逐杀朱老大自立邦主，又设计将剂哥帮派斩尽杀绝，剂哥遇难，孤身亡命新加坡寻找阿国，阿勇步步追杀，将剂哥妻子（刘嘉玲饰）、儿女惨杀，此刻悲痛、愤恨促使阿国重新出山，随剂哥返回香港以死相拼，报仇雪恨......©豆瓣","黄泰来","","周润发","刘德华","万梓良","刘嘉玲"
