"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","actor__001","actor__002","actor__003","actor__004"
"发穷恶","1979","7005136","喜剧","爱情","","0","鄧光榮與俞琤二人欠下高利貸, 被債主手下追捕, 二人因身手敏捷被債主賞識僱用為助手; 但第一天工作便得罪老闆被解僱. 為了解決債務問題, 鄧和俞二人合作做老千, 最初只是騙取數百元的小數目, 後愈做愈大, 二人在沙頭角開設假投注站, 靠騙取村民投注賺錢, 但投注站一方面受到經營外圍馬的村民搗亂, 另一方面因賽事爆冷, 投注站要派彩大額獎金......","萧荣","","邓光荣","俞琤","梁小玲","余绮霞"
"龙虎门","1979","1834207","动作","","","0","","鲁俊谷","黄玉郎","孟元文","孟海","黄正利",""
"油脂","1979","20388611","喜剧","","","0","《油脂曱甴》填詞人:黃霑\n""脂仔 曱甴 脂仔 曱甴\n油脂仔 曱甴妹""\n七十年代尾，全球掀起Disco熱潮，當時樂壇最佳拍檔黃霑與顧家煇，亦合作了一曲《油脂曱甴》，來描述當年「潮童」如何過的士夠格生活，歌曲找來葉麗儀主唱，並收錄在1979年的《葉麗儀的士夠生第三集》內。","俞鳳至","","伊雷","余安安","鮑翠玲",""
"手扣","1979","5051933","冒险","犯罪","","0","","午马","","陈惠敏","苗可秀","",""
"鬼叫春","","3792869","","","","","","","","","","",""
"一胆二力三功夫","1979","2213615","动作","喜剧","","0","原属少林寺供奉之佛祖圣灰，被一西藏喇嘛盗去；故此少林寺派出一闭门弟子梁逸山扮成平民身份往西藏追寻，但因喇嘛能乔装打扮各种人物，故在追查方面，只凭几张喇嘛所扮过的图样及光头特征，因此途中发生不少尴尬之事，更而认识沙胆荣和大力鹏，后凭二人非凡的胆色和力量，而将圣灰夺回。\n剧情由吉吉影音www.chenchenv.com提供","刘家荣","","刘家辉","罗烈","",""
"猴形扣手","1979","2070469","动作","剧情","","0","本片是成龙《蛇形刁手》的跟风作，剧情结构与《蛇形刁手》相似，不过远不及后者。但正是有着像《猴形扣手》这类片子的推波助澜，香港才有了谐趣功夫片的高潮迭起。论坛发过本片的英文版，现将国语版拿出分享，相信喜欢功夫片的朋友一定不愿错过。","张森","","唐伟成","张午郎","郑康业",""
"空山灵雨","1979","1301136","剧情","动作","武侠","8.4","故事发生在名为“三宝寺”的古刹之中，住持即将圆寂的消息惹得江湖之中一片风雨，原因在于寺庙之中藏有的珍贵手写经书《大乘起信论》，谁若能接替住持的衣钵，便能获得这无价的珍宝。住持有三个徒弟，传衣钵是大事，于是，住持请来了王将军（田丰 饰）、施主文安（孙越 饰）和悟外法师 （ 吴家骧 饰），除了悟外法师之外的两人均觊觎经书的价值连城，文安甚至带来了女飞贼白狐（徐枫 饰）以备不时之需。\n住持有三个徒弟，大师兄（石隽 饰）和二师弟早已经被王将军和文安收买，只有三师弟慧思（秦沛 饰）是一心一意的为寺庙着想。就在这个节骨眼上，一位名叫邱明（佟林 饰）的男子来到寺里剃度为僧，邱明身为流犯却实为含冤受屈，而令他受冤且害他家破人亡的罪魁祸首不在别处，正在这寺庙之中。©豆瓣","胡金铨","","田丰","孙越","徐枫","秦沛"
"茅山殭尸拳","1979","1481829","动作","喜剧","奇幻","6.2","以趕屍為業的陳五(劉家榮)與徒弟范振元(汪禹)在一次行動中，因同時趕著九具屍體上路，顧此失彼下，走失了兩具殭屍；其中一具光頭殭屍(劉家輝)實非真殭屍，而是江湖漢子，因被奸人陷害而假扮殭屍以混人耳目。其間發生很多事故，光頭殭屍使出拳術退敵，原來陳五亦非常人…… \r\n\r\n如果追溯香港功夫電影的源流，無論從哪方面講，劉家良都堪稱正宗！身為黃飛鴻第三代洪拳傳人，又是新派武俠電影開山之作《雲海玉弓緣》和《獨臂刀》的動作設計，還是由武術指導轉做導演的第一人，其輝煌和風格形成的時代都是在邵氏電影公司期間，《神打》、《洪熙官》、《少林三十六房》皆是影響潮流的經典之作，而《茅山殭屍拳》也成為「象形」功夫電影潮流中的佳作。","刘家良","","刘家辉","刘家荣","汪禹 Wong Yue","黄杏秀 Cecilia"
"着错草鞋走错路","1979","10877408","喜剧","","","0","","黄元申","","张雷 关聪 李琳琳 任达华 黄百鸣 黄元申","","",""
"行规","1979","3072985","犯罪","剧情","","7.5","翁维铨擅长拍摄纪录片，他的第一部执导商业作品<行规>，也被称为以「半纪录片」方式拍摄。 。不过<行规>确实是一部剧情片，说的是一个正义澟然的警察，周旋在线人与毒犯之间，希望把大岛枭拘捕，最后却落得悲剧收场的故事。","翁维铨","","白鹰","石坚","焦姣","钟志强"
"生死门","1978","1302701","剧情","动作","武侠","7","武林高手仇子玉(郭追 饰)，本已退隐江湖，但正气未泯，应武林大豪屠一(李艺民 饰)之邀，联手对抗四大巨盗，夺回飞龙璧物归原主。谁知屠只是利用「鹬蚌相争，渔人得利」的局面夺取该璧据为己有，事成后仇亦惨遭毒手……","张彻","","傅声","郭追","罗莽","林珍奇"
"睡拳怪招","1979","24891019","动作","","","0","简介：聪明顽皮的小鬼头因淘气无意间识得金大发，金大发因发现当地恶霸曹天霸的恶行，欲上省城揭发，不料被曹发现，并派人追杀。小鬼头想保护他，最终只能是两人一起合力相斗，两人虽然逃脱追杀，但两股实力相差太甚，金与小鬼头能顺利达成铲除恶霸的心愿吗？\n片名：睡拳怪招 Sleeping Fist\n年份：1978\n地区：香港\n类型：功夫\n导演：叶荣祖 Wing-Cho Yip\n主演：\n梁家仁 Ka-Yan Leung\n袁小田 Siu Tien Yuen\n黄一龙 Yat Lung Wong\n高雄 Eddy Ko\n欧阳玲珑 Ling Lung AuYeung\n马金谷 Ma Chiu-Ku\n罗汉 Han Lo\n欧立保 Au Lap-bo\n戚毅雄 Yixiong Qi\n翁小虎 Weng Hsiao Hu\n萧德虎 Tak Foo Siu","叶荣祖","","梁家仁","袁小田","黃一龍","孙岚"
"奇门怪招烂头蟀","1979","3758797","动作","喜剧","","0","该影片由韩国材、罗烈和尤翠玲等人共同演绎，讲述了一段发生在香港的喜剧故事，又包含了一些动作的元素。","桂治洪","","韩国材","罗烈","尤翠玲","李海生"
"金臂童","1979","1307296","动作","剧情","","6.7","本功夫片由張徹導演，並與倪匡聯手編劇。故事講述虎威鏢局總鏢頭楊虎雲(孫建 飾)受官府之託，押運二十萬兩黃金赴黃河流域賬災，武林豪傑「短斧」方十(江生 飾)、「冷月劍」冷鳳(潘冰嫦 飾)等紛紛前來助陣。當時「七殺谷」中一批武功高強的劇盜，金臂童(羅莽 飾)、銀槍子(鹿峰 飾)等早就佈署截劫詭計，鏢隊幸得「千面神捕」海濤(郭追 飾)沿途暗中出手相助，化險為夷……","张彻","","孙建","罗莽","潘冰嫦","江生"
"蝶变","1979","1304940","动作","悬疑","武侠","7.4","武林在经历连番血战平静了三十年后，七十二路烽烟再起，掀起了又一轮征伐。其时有书生方红叶（刘兆铭 饰）撰写系列武林秘记《红叶手札》，专事披露武林秘史。某日，一家书店受托印制红叶手札，不想店长等人却招来杀身之祸，七十二路烽烟之十色旗主田风（黄树棠 饰）部下将杀害店长之凶手截杀。几日后，沈家堡堡主沈青（张国柱 饰）向田风求援，女侠青影子（米雪 饰）随田风等人赶至沈家堡，与先行受邀抵达的方红叶一同会见沈青。昔日兴旺的沈家堡已人去堡空，原来沈青幼年时，沈家受了杀人蝴蝶的诅咒，如今诅咒兑现，杀人蝴蝶潜入沈家堡各处行凶。田风等人出于江湖道义留下探究蝴蝶杀人之根由，却不知陷入了沈家堡与天雷堡的一场隐秘仇怨……©豆瓣","徐克","","刘兆铭","黄树棠","高雄","米雪"
"卖命小子","1979","1307124","剧情","动作","武侠","7.2","本片由張徹導演，倪匡編劇，鹿峰、羅莽、孫建、江生及郭追領銜主演，拍於1979年功夫片高峰期。故事講述武林世家子弟袁鷹飛(鹿峰飾)，表面上是仁至義盡的江湖俠士，實則是工於心計的奸險人物。他利用何非(江生 飾)、馮加金(孫建 飾)、曾樵(王力 飾)及楊追風(郭追飾)等失意江湖的高手，對付虎威鏢局少鏢頭關雲(羅莽 飾)；豈料何非等四人與關雲不打不相識，反成好友……","张彻","","鹿峰","罗莽","郭追","江生"
"军阀趣史","","3998551","","","","","","","","","","",""
