"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","director__003","director__004","actor__001","actor__002","actor__003","actor__004"
"大哥让位","1991","4005631","动作","","","0","李广与萧天寿为香江两大亨，均是以不法手段起家，劫力互相牵制，都想吞并对方，以达成香江顶级大亨之位。李的手下林威、阿辉在率命接古董一批途中，被萧所趁，被人黑吃黑了。事后，威、辉却为李之律师乔荫指为通敌，此时，阿清甫出狱与昔日并肩战友阿威重逢，庆幸之时险些被杀手所刺，威、清联手击毙杀手，威又想起辉可能在美人窝有难，火速前往搭救，三人共同逃往乡间暂避。威、清、辉三人接二连三的出事，背后指使人定是萧天...","陈志华","","","","午马","狄威","林威",""
"偷情小丈夫","1991","1300974","剧情","喜剧","","0","黄力因有事外出家中只剩下妻子和佣人毛毛，在一次偶然的机会，黄力接到老婆的来信，信中说自己已有身孕，其妻暗自高兴，猜想丈夫阿力一定会很高兴，然而恰恰相反，丈夫接到信后顿时火冒三丈，连夜赶回家捉奸，没想到居然多了一个女人，自称是黄力的爱人，也有了黄力的骨肉，黄力在想一举两得办法中，结果被两个老婆给遗弃了……","梁本熙","","","","叶童","苗侨伟","吴家丽","梁本熙"
"整蛊专家","1991","1299680","喜剧","爱情","","7.7","大好青年车文杰（刘德华 饰）邂逅了公司老板千金程乐儿（关之琳 饰），在乐儿好友Banana（邱淑贞 饰）的撮合下两人迅速陷入热恋。乐儿前男友金默基（李子雄 饰）得知情况后，马上对车文杰产生敌意，聘请整蛊专家古晶（周星驰 饰）作弄车文杰，让他一无所有。于是古晶假扮车文杰父亲车亲仁（吴孟达 饰）从大陆来的私生子，从中捣乱。古晶的到来令车文杰的生活打乱，一切事仿佛都在古晶的操控之中。但Banana发现了古晶的真实身份，劝古晶顾念车家父子对他的照顾，转过头帮忙车文杰对付金默基。©豆瓣","王晶","","","","刘德华","周星驰","关之琳","邱淑贞"
"纵横四海","1991","1295409","剧情","喜剧","动作","8.8","砵仔糕（周润发饰）、阿占（张国荣饰）和红豆（锺楚红饰）均是孤儿，在养父（曾江饰）栽培下成为国际大盗。长大后成了帮他赚钱的艺术品大盗，而三人同时又认了警察（朱江饰）为干爹。\n法国巴黎博物馆内，名画《赫林之女仆》被人盗走。与此同时，阿海、阿占和红豆三人以敏捷身手盗得另一幅名画，在与法国大哥交易时得知名画《赫林之女仆》在妖气重重的古堡内，他们在曾江安排下成功地盗取此画之后，反被集团原凶曾江与法国大哥合谋设下陷阱，派人追杀灭口。阿海驾车与杀手快艇相撞……\n三人失散，数年后，他们在香港重聚，阿海“瘫痪”住在朱江家里，阿占和红豆已经结婚了。曾江又逼他们去偷画……©豆瓣","吴宇森","","","","周润发","张国荣","钟楚红","朱江"
"烈火危情","1992","1298633","动作","爱情","","0","李志伟（吕良伟）为一贩毒组织的头号人物，在一次交易上被同伴（伊凡威）陷害，不但货被劫，手足亦被杀，事后更被权叔（刘绍铭）指责，地位日渐不保。此时，伟的好友Simon（任达华）来港筹备摄影专辑，伟暗示希望Simon帮他一起打江山，重振雄风。伟因改投于Steven之组织触怒权叔而被人追杀，Simon亦觉伟孤立无援，故与伟合作，对付敌人。　 　　另一方面，Simon在工作中结识了模特儿Eliza（李美凤），二人一见即合，但却发现Eliza为Steven之女友。伟因力劝Simon离开Eliza，而使二人反目；Steven知悉二人往来后，怒火中烧，设下陷阱，欲将Eliza和Simon逐一消灭，于是双方展开一轮火并，Simon身陷困境，危险万分","萧伟强","","","","吕良伟","李美凤","任达华","陈启泰"
"飞鹰计划","1991","1302753","喜剧","动作","冒险","7.7","历经艰辛刚摆脱非洲土人的追杀，飞鹰Jackie（成龙）就接到伯爵的急电，要其迅速赶到西班牙。二战末期，知道自己来日不多的德国纳粹把在欧洲抢掠所得的数万吨黄金隐藏在了非洲撒哈拉大沙漠一个秘密基地，伯爵急电Jackie，正是要其配合冷艳的考古专家Ada（郑裕玲）再赴非洲寻找这批黄金，途中，藏金副官的外孙女Elsa加入寻宝队伍。\n费尽艰辛终抵大沙漠后，Jackie一行人于一次意外无意发现了藏金基地，而就在他们欣喜若狂之际，一个神秘大汉突然出现，一场生死博斗遂即展开。©豆瓣","成龙","","","","成龙","郑裕玲","依华歌宝","池田昌子"
"富贵吉祥","1991","1307949","喜剧","爱情","","6.4","古树林（林子祥 饰）是一位颇有名气的指挥家，前往香港演出的他决定借此机会和阔别已久的老友们叙叙旧。让古树林没有想到的是，半路杀出了菲欧娜（周慧敏 饰）和金志杰（张学友 饰）两个捣蛋鬼，导致他原本的计划被破坏殆尽。\n一次偶然中，古树林辗转邂逅了金志杰的姐姐金中玉（张曼玉 饰），随着了解的加深，两人渐渐的走到了一起坠入了爱河。某日，成天胡作非为的菲欧娜和金志杰终于捅了篓子，两人导演的绑票戏码竟然成真，菲欧娜的母亲（沈殿霞 饰）因此身陷于危险之中，如此紧急的情况之下，挽救一切的重担，自然而然的落到了古树林的肩上。©豆瓣","冼杞然","","","","林子祥","张曼玉","张学友","周慧敏"
"中环英雄","1991","1297694","喜剧","","","6.3","张豪杰（梁朝伟 饰）本来是保险公司的高级职员，有着一片大好前途，但是一次偶然他被发现了脑中长着一个水泡，随时有生命危险，因此豪杰被公司解雇了；华英雄（刘德华 饰）是一个街头小混混，每天浑浑噩噩得过且过。就是这样两个圈子完全不一样的人竟然相遇、相知，成了好友。英雄在豪杰的介绍下进入了保险公司工作，重新开始了自己的人生，而赋闲在家豪杰则帮英雄料理一些琐事。英雄很快得到女上司的赏识，两人渐渐互生情愫；而豪杰一次偶然亦结识了红颜知己芬妮（袁洁莹 饰），两人慢慢堕入了爱河。就在此时，一连串意外发生了。©豆瓣","邱礼涛","","","","梁朝伟","刘德华","毛舜筠","袁洁莹"
"洪福齐天","1991","1300438","动作","喜剧","奇幻","6.5","肥宝（洪金宝 饰）整日坑蒙拐骗，不顾父亲（洪金宝 饰）的责罚与朋友小海（孟海 饰）搭档出千骗人，代客泊车的二人见识了女骗子莉莉（利智 饰）的高超手段，欲从中分一杯羹却被莉莉的仇家盯上。小海被对方捉走当做人质，肥宝要搭救小海，怎奈事事不顺，遂迁怒于自己去世的“赌王”爷爷洪九（洪金宝 饰）。洪九不甘被孙子侮辱，加之为了向仇人及其后代寻仇，其怨灵重返人家，帮助肥宝在赌场上大杀四方，并成功救回了小海。得到好处的肥宝想摆脱洪九，但终因亲情而作罢。肥宝依计乔装成大陆领导接近仇家为祖父报仇，将父亲和莉莉也牵涉其中……©豆瓣","高志森","","","","洪金宝","孟海","利智","黄沾"
"龙的传人","1991","1306057","喜剧","","","7.1","周小龙（周星驰 饰）与父亲周飞鸿（元华 饰）生活在大澳，与师妹毛毛（毛舜筠 饰）是一对单纯的欢喜冤家。某天，小龙的师叔毛仁（梁家仁 饰）到大澳躲债，飞鸿托阿仁把儿子小龙带到香港发展，阿仁意外发现了小龙高超的台球技术，变决定利用小龙进行赌博。黑帮龙哥看中了周家大澳的田地，便要求阿仁以地皮为赌注。小龙面对对方的世界级高手，压力巨大因此输掉了比赛。毛毛为了鼓励小龙，把自家的田地也作为赌注，决定要再次把自己的土地赢回来，但压力仍然困扰着小龙，比赛一度落后……©豆瓣","李修贤","","","","周星驰","梁家仁","毛舜筠","元华"
