"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","director__003","director__004","actor__001","actor__002","actor__003","actor__004"
"破茧急先锋","1991","1308195","动作","犯罪","","5.9","阿良和家驹是飞虎队的中坚分子，屡建奇功，上司给予嘉奖到泰国旅游，他们到了边界辽国，被军队误会成毒贩追杀，被迫入狱屈打成招。他们想尽方法想出狱，可是……","徐柏霖","","","","方中信","吕良伟","夏志珍","何家驹"
"著牛仔裤的锺馗","1991","1299722","动作","喜剧","恐怖","6.3","香德祖（成奎安 饰）是一名香港皇家警察，他的老婆（王小凤 饰）怀孕待产，夫妻二人亲密非常。这一日，他们去医院检查的路上，遭遇一伙银行劫匪。出于职责，香抛下妻子奋勇上前追击。经过一番追车和搏斗，香制服歹徒，却被匪首暗算，致使钢筋穿胸而死，尸体被埋于乱铁之中。是夜，一只黑猫跳上香的身体，刚好猛雷劈下，香竟奇迹般复苏，变成活脱脱的僵尸。他复活后力大无比，但害怕阳光，还需要定期充电。香自知时日无多，决定对妻子隐瞒这个秘密，并将银行劫匪绳之以法。\n另一方面，匪徒当初逃跑时劫持少女Gucci（叶蕴仪 饰）为人质，混乱中Gucci拿着装钱的箱子逃跑。愤怒的劫匪四下寻找Gucci，当他们得知香还在人间之时，一番正邪大战在所难免……©豆瓣","黎继明","","","","成奎安","叶蕴仪","王小凤","叶子楣"
"鸡鸭恋","","3871526","","","","","","","","","","","","",""
"赢钱专家","1991","1308274","喜剧","","","6","祥（王晶 饰）天赋异品，和他的二叔（林正英 饰）、三叔（吴孟达 饰）都是茅山赌术弟子，祥和三叔丈着有点小聪明开了一间赌博公司，赌徒有什么疑难问题都可以上来请教。香港女赌神高少少（吴君如 饰）被泰国赌王乃猜与其手下女巫合谋害死，化成冤魂。高少少的冤魂不堪枉死，前来找祥替她报仇，祥抵不住她的缠绕，答应替她报仇。高少少的妹妹高豆豆（邱淑贞 饰）也因心想为姐姐报仇而结识了祥，两人心生倾慕。\n二叔可怜高少少惨死，也出山和祥、三叔一起挑战泰国赌王乃猜，茅山赌术和泰国巫术之战打响了。©豆瓣","王晶","","","","王晶","吴君如","陈百祥","邱淑贞"
"皇家师姐之地下兵工厂","1991","1299564","动作","","","5.9","女警杨菁菁与卧底台警程傲群和中警华志勇合作缉捕中国地下兵工厂的香港党羽。\n党羽首领阿Paul的妹妹Edna并不赞同兄长的行动，阿Paul的党羽阿Ben却对Edna有意，怎料Edna却一心一意恋上了恋勇。\n由于傲群与志勇的背景不同，二人常常发生冲突，傲群性风流，却暗中恋上了菁菁。Paul向中国兵工厂的首领买了大批枪械，同时声东击西地派人在湾仔抢劫，以分散警方的注意力。\n志勇与阿Ben争夺Edna的芳心，但Edna与Paul的关系暴露之后，Paul软禁了Edna，Edna企图报警及说服Paul报降，可惜Paul泥足深陷，最后死于傲群枪下，而傲群亦赢得了芳芳的芳心。","袁俊文","郑兆强","","","杨丽菁","李丽珍","徐宝华","郭追"
"女机器人","","5120686","","","","","","","","","","","","",""
"喋血边缘","1991","7062591","剧情","动作","犯罪","0","干探霍超和妻子张婉仪本来是幸福的一对，可惜移民问题使两人决裂分手。仪只身到美国发展，超毅然接受上司的“提拔”做卧底搜集贩毒头子洛振华的罪证。很快他便得到华的信任，成为华的得力助手。这一天，他已盗取足以致华于死地的罪证，但由于车祸使他失忆，令超更死心塌地替华打江山。超的上司程督察想尽办法帮他记忆卧底身份。他的前妻和丈夫Gary Chan也返港帮他改邪归正，仪带超重游昔日定情的地方，使他恢复记忆。","周华宇","","","","钱小豪","惠英红","江华","黄子扬"
"蓝色霹雳火","1991","1307844","动作","犯罪","","6.2","整日醉生梦死的小工人林守一（李修贤 饰）当年曾是一名优秀干练的皇家警察，后来他因酒后殴打嫌疑人而被停职查办，感情一向不和的妻子Judy也趁机与其离婚。数年后，重案组警探程曦（梁家辉 饰）及其助手铁男带着男孩小念找到林，原来林的前妻不久前被人入室杀害，只有儿子小念幸免于难。经过一段时间相处，父子俩由疏远逐渐亲密起来，林也决定找出杀害前妻的凶手。\n几经辗转，程和林找到Judy生前的室友——美丽的女模特Ellen方（郑文雅 饰），询问之后一无所获，而他们的造访却给Ellen带来巨大的麻烦……©豆瓣","李惠民","","","","李修贤","梁家辉","郑文雅","黄坤玄"
"秃鹰档案","1991","2301433","动作","","","5.3","王玫瑰是私家侦探，饶勇善战，人称“女战士”。她与表姐白兰在香港开设了一间私家侦探社。有一次，王玫瑰助国际刑警侦破全东南亚最大毒品交易，因而得罪哥伦比亚的毒贩矢志，矢志于是重金雇杀手团杀死国际刑警及王玫瑰泄愤。主脑雄狮派黑豹、山猫和羚羊三个杀人王执行任务，并将国际刑警一一杀害，最后一个目标是香港的王玫瑰。一连串的暗杀事件引起联邦密探的注意，他们派周宏到香港调查。由于王玫瑰的机警和周宏的协助逃过一次次的暗杀，周宏根据蛛丝马迹，他发觉雄的秘密拍档就是王玫瑰的舅父陈方。后来，周宏和王玫瑰查悉陈方，于是赶到上址，发觉其内哄，陈方被杀。经过一轮激战，终于把杀手集团毛彻底歼灭。","李钊","田启文","","","李赛凤","莫少聪","任达华",""
"魔唇劫","1991","1308413","动作","喜剧","恐怖","4.9","大学教师商剑飞在跟一群女学生进行赏月晚会时，月亮突变红色.跟着神秘的约魔出现，杀死多名学生。商剑飞最初被怀疑为杀人凶手。后经图书馆长楚依人从她父亲留下的一本柬埔寨文的书籍中，找到了大母太阴女神的民间传说，才洗脱嫌疑。为了追查事情真相。商剑飞与负责办此案的督察秦狱等一同前往柬埔寨。他在哪里遇到了黑风族公主白露。也找到了供大母太阴女神的墓地。众人终于合力除去了在三十年后重生的月魔。","王振仰","","","","甄子丹","周海媚","杨宝玲","卢惠光"
"至尊无上II之永霸天下","1991","1300264","动作","犯罪","剧情","7.3","江湖中传说，有两块赌神玉牌，拥有者可以凭借玉牌召唤赌神帮助，逢赌必胜。八年前，范叔与徒弟詹永飞（王霄 饰）、鸡翼（刘德华 饰）、“亚洲第一快手”仇杰（王杰 饰）与人对赌，不料詹永飞背叛，导致范叔输掉了安身立命的豪华赌轮，并因高空坠落而下身瘫痪，仇杰也遭陷害入狱。八年后，范叔与鸡翼、小倩（吴倩莲 饰）在一艘小木船中开设赌局度日，每日为参加亚洲赌赛勤勉筹备，詹永飞获悉范叔拥有赌神玉牌，带人逼索使范叔身亡。出狱归来的仇杰面对范叔之死，只想过平常人生活意欲退出江湖，岂料詹永飞反复纠缠，设计先后令仇杰断臂、鸡翼目盲，忍无可忍的情况下，仇杰与鸡翼决定用赌来讨回公道……©豆瓣","杜琪峰","","","","刘德华","吴倩莲","王杰","黄秋生"
"表姐你好嘢!续集","1991","1776803","动作","喜剧","","6.8","郑大姐（郑裕玲 饰）自香港返回后，工作成绩颇受上级肯定，职位获得提升并与拥有特异功能的助手阿胜（张坚庭 饰）担任干警们的培训工作。另一方面，伍老伯和身为香港警察的侄子阿雄（李子雄 饰）来大陆探亲，阿雄在入住的旅馆偶遇一起凶杀案，被赶来查案的郑大姐强留。忙于寻找台湾间谍的伍老伯结识了一群骗子，被撂下的阿雄入住郑大姐家接受证人保护，对伍卫国颇有好感的郑大姐对阿雄也暗生情愫，但碍于面子无法与其正常交往。不久，阿雄返港，郑大姐遵照上级指示带上助手阿胜、阿虎与阿雄赴港查案，惹出不少麻烦，跌跌撞撞向逮捕罪犯的目标奋进……©豆瓣","张坚庭","","","","郑裕玲","李子雄","张坚庭","林蛟"
"追日","1991","1305638","动作","冒险","剧情","6.4","行侠仗义的剑客贾逸（张学友 饰）于偶然之中得知鬼王即将祸害人间，于是前往古剑山庄，想要借山庄绝学将鬼王扼杀在萌芽之中。途中，贾逸遇见了逃婚的女子古梦雪（王祖贤 饰），两人情愫渐生，然而，最终古梦雪还是离开了贾逸，成为了别人的妻子。\n古剑山庄庄主颜英告诉贾逸，鬼王在人间强娶了一名女子，而这名女子不是别人，正是古梦雪，贾逸得知了真相，然而为时已晚。贾逸前往阴间想要救回古梦雪，遂和鬼王发生了激烈的战斗，在交战之中，贾逸身受重伤，所幸得到狐精青儿（张敏 饰）相救，才挽回一命。重整旗鼓之后，贾逸施展追日打发，想要令时光倒流，改变历史。©豆瓣","刘鸿泉","","","","张学友","王祖贤","张敏",""
"黑雪","1991","2073652","动作","犯罪","","6.3","Maggie乘回港接外婆到加拿大它居之便, 与男友Michael及好友Carol, Jacky夫妇聚旧, 但Michael说Jacky夫妇去了澳门. Maggie出门之际, 在闹市中巧遇Carol 和Jacky, 四人於是共聚一番. 原来Jacky已染上毒瘾, 而提供毒品的竟是Michael, 在无钱买毒品下, Jacky强抢Carol的公款, Carol心痛之馀, 割脉自杀...","姜大卫","","","","张曼玉","张学友","王敏德","郭锦恩"
"联手警探","1991","2043796","动作","犯罪","","6.4","家住深圳渔村的少年，无意中在近海的河塘边发现一具高度腐烂的尸体，与尸体一同出现的还有大量伪造的港币。事关重大，大陆警方立刻和香港方面迅速取得联系，香港CID女警探邵霞飞（郭秀云 饰）率队迅速前往制造假币的工厂，警匪双方发生激烈枪战，而制假分子阿震则趁机带着相关物证和印版逃脱。两伙黑道人马在深圳展开拼杀，阿震被对方杀害，前来接头的出租车司机伟成（于荣光 饰）抢走印版，随后又被陈老板的儿子带走，命其从香港带货。一直跟踪的邵霞飞抓住了伟成，谁知对方竟然是大陆警方派来的卧底黄涛（于荣光 饰），黄涛更因此险些遭到黑道老板的杀害。在此之后，邵霞飞和黄涛一路追踪到深圳，与这伙心狠手辣的犯罪分子展开搏杀……©豆瓣","郭宝昌","","","","于荣光","洪宇宙","张艳丽","宁静"
"聊斋金瓶梅","","25806695","","","","","","","","","","","","",""
"监狱风云II逃犯","1991","1294019","剧情","动作","犯罪","7.8","《监狱风云》的续作，资深囚犯阿正（周润发 饰）因为与前任科长（张耀扬 饰）的过节而延长刑期，服刑期间母亲病逝，儿子良仔被送到孤儿院甚至对父亲产生怨恨。阿正一心想申请外出看望儿子却遭到预警头子“鬼见愁”（徐锦江 饰）的诸多刁难。“鬼见愁”因收买狱中大陆帮首领大圈龙（陈松勇 饰）不果 ，把其视为眼中钉，并且从中唆使挑拨使得大陆帮与阿正之间产生隔阂。一次陷害使得大圈龙不得不出逃，被误会陷害大圈龙的阿正也被迫逃走，逃跑途中两人相遇并产生了一段“难兄难弟”般的友情。最后阿正被再次抓回狱中，在暴乱中阿正终于得到机会和”鬼见愁“短兵相接。©豆瓣","林岭东","","","","周润发","陈松勇","胡耀宗","于莉"
"猛鬼狐狸精","1991","3020543","动作","喜剧","奇幻","6","数百年前，茅山传人张素素（陈加玲 饰）与弟弟合力将赶来寻仇的狐狸精击退，而张素素则因伤势过重不治。时光荏苒，1991年的香港，茅山第37代传人张午（胡枫 饰）于一大厦中开店，同时迎来了由大陆抵港、拥有特异功能的干儿子阿华。张午的女儿阿如（吴君如 饰）因不满父亲悭吝自立门户，乔装成“大法师”坑蒙拐骗，另一女儿阿意（陈加玲 饰）令阿华倾心。能够开发特异功能的大喇嘛为了寻找转世灵童亦在此时赴港，却发现张午开店的大厦中有妖物存在。不久，潜藏大厦的狐狸精终于现身，大喇嘛与张午一家以及笃信基督的黑帮大佬一起联手抗妖。©豆瓣","梁佐治","","","","吴君如","楚原","成奎安","胡枫"
"五虎将之决裂","1991","1297629","剧情","动作","犯罪","6.7","天叔（梁家仁 饰）、贼仔（刘德华 饰）、头皮（梁朝伟 饰）、阿邦（黄日华 饰）、阿华（苗侨伟 饰）五个警察属同一小组，五人工作上配合默契，屡建奇功，被称为“金牌五虎将”。五人除了是好同事，私底下更是好兄弟。贼仔、头皮暗地里收了天叔的小舅子——黑社会成员叛徒东（汤镇业 饰）的黑钱，同时想拉天叔、阿邦和阿华下水。除了阿邦，其他两人都下水了。收受黑钱的每个人都有自己的理由，天叔为了女儿能活得好点，不用再去当陪酒女；而头皮则要送弟弟去加拿大读书；阿华则想为妻子（蓝洁瑛 饰）和儿子提供一份未来的保障；而贼仔则今朝有酒今朝醉。\n阿邦虽然没收黑钱，但伙计们都收了，他也不得不对黑社会投鼠忌器，五人因此越陷越深……©豆瓣","曾志伟","","","","刘德华","梁朝伟","汤镇业","黄日华"
"非洲和尚","1991","1303407","喜剧","奇幻","","6.9","华侨阿森（陈山河 饰）请来林道士（林正英 饰）参加远在英国的拍卖会，二人将阿森家族祖先的僵尸买下，准备运回国内安葬，岂料飞机半路遭遇浓雾天气，他们失去了方向飞到了非洲，并在跳伞时和僵尸分散。僵尸被当地土著人历苏和族人们带回，而林道士和阿森却陷入了野兽的围困之中。历苏好心帮助了一位抓捕非洲少女的白人女性，她却不思报答，反而脱身而去，计划将土著人用作工具的钻石据为己有。林道士和阿森脱身后再度遇险，又是历苏出手相救，二人入住历苏族人的营地养伤，同时也找到了丢失的僵尸。此时，白人带领众多帮手返回抢夺钻石，林道士派出僵尸大战白人请来的黑巫师……\n本片旁白由周星驰和吴孟达担任，主角历苏凭借《上帝也疯狂》一举成名。©豆瓣","陈会毅","","","","历苏","林正英","陈山河","陈龙"
"捉鬼专门店","1991","1298440","喜剧","恐怖","","5.8","阿清（林俊贤 饰）、阿爱（许冠英 饰）和阿水（成奎安 饰）三人合开了一间捉鬼公司，生意一直冷冷清清。某日，三人听闻某游乐场即将展览两具千年古尸，觉得事有蹊跷，便前往一探究竟，随行的还有阿爱的女友小明（陈淑兰 饰）。\n果不其然，展览当日现场发生了命案，阿清三人顺理成章的接下了这个案子，开始调查事件的真相，让他们没有想到的是，其中的一具古尸竟然复活逃走，为避免打草惊蛇，众人决定暂时由阿爱假扮那具失踪的古尸，却由此将阿爱和小明牵扯进了一段纵横前世今生横亘人鬼之间的旷世绝恋之中。大魔神复活了，然而它的元神并未合一，于是，它将魔爪伸向了小明和阿爱，企图抢夺他们手中拥有强大力量的龙珠。©豆瓣","黎应就","","","","林俊贤","许冠英","陈淑兰","成奎安"
"契妈唔易做","1991","1301341","喜剧","犯罪","","6.5","张文静与苏文辉拍拖多年，但常因辉不肯放弃其警务工作，更令静日夜担心静决心搬往郊外居住。在静搬家途中，巧遇女探员乌小凤追击珠宝劫匪，劫匪之一阿表躲入了静的搬运车中，到了静的新居，静认识了嗜钱如命的士多老板达叔及其儿子太叔公，太叔公在帮忙清洁时发现了一钻石，不料从此引来诸多麻烦，众匪亦追踪而至，巧遇凤和辉，众人展开连场激战，将一干匪徒绳至于法。","钱永强","","","","梁家辉","郑裕玲","郑柏林","吴孟达"
"逃学威龙","1991","1302090","喜剧","动作","爱情","7.9","周星星（周星驰 饰）是飞虎队队长，奉命以卧底的身份到圣育强中学寻找警司于参观时被窃的配枪。周星星就算百般无奈还是接受了任务。他很快适应了学校的生活，功夫高强的他也受到了学校众多学生的拥戴，周星星也顺势调查失枪案件。警队的另一位卧底曹达华（吴孟达 饰）也参与了这个案件，最后也与同学一起合力，帮助周星星破获一踪大型军火贩卖案件。©豆瓣","陈嘉上","","","","周星驰","张敏","吴孟达","张耀扬"
"倩女幽魂III道道道","1991","1298040","动作","爱情","奇幻","7.5","小和尚十方（梁朝伟 饰）随师父白云（刘洵 饰）护送金佛去五台山。路上偶遇痞子道士燕赤霞（张学友 饰）杀死强盗无数，三人结下梁子。十方与师父夜宿鬼寺兰若寺。师父外出打探时，十方遭遇女鬼小卓（王祖贤 饰）。十方不受其诱惑，二人争斗，十方念咒将其制服，但仍好心将其放走。十方将金佛不慎丢失，找到后已破成两段，树妖姥姥趁机发难，白云被活捉。十方在小卓帮助下逃出，外出求人修补金佛却不幸被骗。幸得再遇小道士燕亦霞，得其相助。小卓死敌小蝶（利智 饰）出击勾引二人不成，恼怒之际识破小卓与十方的计划，引姥姥到三人藏匿之处。十方在小卓再次帮助下逃出，并救得师父，小卓却被姥姥抓回折磨。十方与燕赤霞掘出小卓骨灰逃出兰若寺，但姥姥已布下天罗地网，众人危在旦夕，最后关头，十方化成佛祖金身，对付树妖……©豆瓣","程小东","","","","梁朝伟","张学友","王祖贤","利智"
"极道追踪","1991","1298745","犯罪","剧情","爱情","6.3","中国香港留学生Ben（刘德华饰）与好友兼同学张直（庹宗华饰）、明仔在日本无心向学，却满怀斗志闯荡东瀛，只为能够出人头地。张直寻找青梅竹马的爱人不获，明仔搭上酒吧陪酒的老板娘，一心想成为山口组老大石川的妹夫。\nBen在此时偶遇出来陪酒赚外快的中国大陆女留学生铁男（钟楚红饰），二人结缘。\n铁男与好友美美寄人篱下地住在地痞担保人的手下，受尽凌辱，终有一日铁男忍受不住，独自出走......©豆瓣","许鞍华","","","","刘德华","钟楚红","庹宗华","孙鹏"
"密宗威龙","1991","1305511","动作","鬼怪","","5.9","西藏密宗分为黄教和黑教，黄教班禅转世投胎之后会成为灵童，而黑教班禅则转世成为天童。逆天童（卢惠光 饰）是黑教弟子，一心想要毁灭黄教一统密宗。他杀害了黄教的晓云大师（太保 饰），将他制成干尸送往布达拉宫示威。班禅（原森 饰）和密月（林正英 饰）施法使晓云大师说出了事件的真相，知晓了黑教的阴谋。\n受班禅所托，密月出发寻找师兄赤飞（午马 饰），逆天童带着他的爪牙紧随其后。在此途中，密月邂逅了顽童（钱嘉乐 饰）和西藏女孩（张静如 饰），几人结为好友，谁知道遭到了逆天童和其四大护法的攻击，密月身受重伤命不久矣。直到此时，他才知道，自己苦苦寻找的灵童，竟然就是眼前其貌不扬的顽童。©豆瓣","孟海","","","","洪金宝","钱嘉乐","林正英","午马"
"火烧岛","1991","1302537","动作","犯罪","剧情","6.7","警官黄伟（梁家辉 饰）被借调调查一件涉及警员犯罪的案子，为搜集证据，黄伟犯险入狱。火烧岛典狱长（柯俊雄 饰）治下的监狱充斥着暴力、不公，以及制度化的犯人殴斗。黄伟很快在狱中结识了室友小朱（庹宗华 饰）和因思念儿子多次越狱的刘世杰（洪金宝 饰），并经历了帮派人物大林（高捷 饰）的入狱洗礼。台球选手大锤（成龙 饰）因误杀帮派大哥钢珠（刘德华 饰）之弟入狱，大林受命向大锤复仇，此事被狱中大哥桂老大（王羽 饰）调解。黄伟、大锤等四人被典狱长吸收进入“清风队”，在执行暗杀任务的过程中，黄伟意外的发现了自己追查多时的幕后真凶。©豆瓣","朱延平","","","","成龙","刘德华","洪金宝","梁家辉"
"贼圣","1991","3992349","喜剧","","","0","一位在警察部投诉科工作了二年的警务人员李家明，他对贡献社会有着一份热诚，他不甘心在投诉科刻皮工作，更不满被投诉差人的工作态度，他有信心成为一个好警察，所以他求调CID。但是他上任后的第一宗案件，便碰到一群凶残的劫匪，尤其是首领考虑，更是极度的棘手，家明的经验不足，破了警方早已布下的天罗地网，使劫匪逃走，此事令他和他的拍档，一位十分老练的干探指天椒同遭遣责。家明千辛万苦，终于自线人细龟那里，知悉刚出狱的花仔光是一个十分刁钻，但对考虑却非常忠心的小人物。","罗文","","","","李元霸","成奎安","蒋志光","吴毅将"
"开心鬼5上错身","1991","1759975","喜剧","奇幻","","6.9","小诗 ( Kris Aquino 饰 )养有一只可爱的大狗Magic，Magic从小就跟着小诗一起生活，他们的感情十分好。这次，小诗要到美国探亲，没办法带着Magic一同前往，于是只好委托男友阿杰帮忙好好照看Magic。阿杰表面上十分乐意，可是小诗走了之后，他马上招来一群猪朋狗友来家里作乐，根本不管Magic。无人照看的Magic跑了出去，半夜，迷路的Magic跑到了开心鬼（黄百鸣 饰）的神庙。看到风吹倒了蜡烛神台着火，聪明的Magic跑上去扑灭了火苗。为了感谢它的救命之恩，开心鬼显灵并用施法令Magic变成了人，但限期只有49天。变成人之后的Magic不会说人话，动作习性还是和狗一样，因而笑料百出。人模狗样的Magic在这49天内会有什么不一样的经历？©豆瓣","黄百鸣","陈奥图","","","黄百鸣","谷德昭","郭晋安","姬丝·阿奎诺"
"黄飞鸿","1991","1298443","剧情","动作","武侠","8.2","清朝末年，曾任黑旗水军教头兼民团总教练的广东佛山武师黄飞鸿（李连杰）常在宝芝林教人练武，期望借此自强救国，可是眼见政府苟且偷生洋人横行霸道，他渐渐领悟到单凭武术不足以使民众从苦海中脱离，开始努力找寻其它救国出路。梅县梁宽（元彪）在戏院结识黄飞鸿的恋人十三姨（关之琳）后与黄飞鸿出生种种误会，终投武夫严振东门下与黄飞鸿成为敌手。\n严振东与洋人连手鼓吹美国是金山世界，将包括十三姨在内的大批中国妇女骗掳上洋船，梁宽此时幡然醒悟，明白黄飞鸿是友非敌，在他的帮助下，黄飞鸿开始与洋人及其爪牙展开浴血奋战。©豆瓣","徐克","","","","李连杰","元彪","关之琳","张学友"
"黑猫","","1293686","","","","","","","","","","","","",""
"赌侠II上海滩赌圣","1991","1302977","喜剧","奇幻","","7.5","阿星（周星驰 饰）由赌神处学成归来，恰逢不甘心失败的大军集合中南海五大高手复仇，虽有龙五（向华强 饰）相助，但阿星与三叔（吴孟达 饰）仍被大军等人发功送至1937年的上海……\n阿星与三叔失散后意外击杀谋害许文强之凶手，得以结识丁力（吕良伟 饰），自此与祖父周大福（吴孟达 饰）留在丁力身边，丁力女友如仙（巩俐 饰）令阿星魂牵梦绕，却不知她是自己所中意女孩如梦（巩俐 饰）的孪生姐姐。川岛芳子意欲控制上海，于是网罗大军等人频频向丁力发难，并约定最后以赌局决定胜负，阿星由日本人手中涉险逃脱，终于赶上赌局，而决定这场赌局的关键，却是一个名叫“今晚打老虎”的神秘人物……©豆瓣","王晶","","","","周星驰","巩俐","吕良伟","向华强"
"Beyond日记之莫欺少年穷","1991","1308424","喜剧","音乐","","8.1","家驹（黄家驹 饰）、自强（黄家强 饰）、世荣（叶世荣 饰）以及贯中（黄贯中 饰）四个年青人自组乐队，醉心于音乐，但他们每个人都有自己的梦想。世荣深爱女友马莉（王菲 饰），但身为医学教授的未来岳父加能却不赞同他从事音乐，加能固执的令晕血的世荣进入医科学习；梦想成为警察的贯中因身体素质不过关，全靠诚意打动了警方考官，得以从不起眼的交通督导员做起；家驹一家希望移民美国开餐馆，为了这个目标，全家展开赚钱比赛，家驹身兼数职，一刻不得闲；初入职场的自强豪情万丈，自信能够凭借努力成为第一流的经纪人。四个年青人为了理想打拼，一路经历诸多坎坷欺骗，他们的梦想能否成真？©豆瓣","宋豪辉","","","","黄家驹","黄家强","黄贯中","叶世荣"
"香港三级模特儿","","26759458","","","","","","","","","","","","",""
"四度诱惑","","3068078","","","","","","","","","","","","",""
"子弹出租","1991","1305544","剧情","动作","犯罪","6.3","岳哥（罗烈 饰）、阿汉（任达华 饰）和阿灿（张学友 饰）是三名为黑道做事的杀手，三人在一起合作了很长的时间，彼此之间十分的默契，出生入死的经历也培养出了坚实的友谊。随着时间的推移，岳哥渐渐的厌倦了杀手这份职业，同事他也担心自己的所作所为会影响到女儿的安全，于是和警方合作，在一次行动中假死，从此隐姓埋名开始新的生活。\n岳哥的死很快就引起了黑帮大哥的怀疑，于是他派出了阿汉和阿灿对事件进行调查，并嘱咐他们如果遇见了岳哥，要将他杀之而后快。为了避免他们三人互相包庇，大哥绑架了阿灿的女友，以她的性命相要挟。©豆瓣","袁俊文","","","","张学友","任达华","狄威","罗烈"
"Yes一族","1991","1780436","喜剧","剧情","","6.9","阿杰（蔡一杰 饰）、阿威（苏志威 饰）、阿智（蔡一智 饰）、阿明（黎明 饰）和克仔（李克勤 饰）是情同手足的好友，彼此之间感情十分要好。五人聚在一起打算创业，他们开了一间毛巾清洗工厂，希望能凭借着努力和智慧为自己挣得光明的未来。\n一次偶然中，阿明和克仔结识了Yoko（周慧敏 饰）和阿猫（桑妮 饰）两个女孩，阿明和Yoko相互吸引，最终走到了一起，与此同时，阿猫和克仔之间亦碰撞出了爱情的火花。工厂的经营发生了一些问题，而Yoko亦再也无法忍受阿明的朝三暮四而选择了离开。阿猫即将移民去澳洲，她和克仔之间的感情看似不会有结果。兄弟五人都站在人生的交叉口前。©豆瓣","罗卓瑶","","","","黎明","周慧敏","蔡一杰","蔡一智"
"冲击天子门生","1991","1302668","动作","犯罪","惊悚","6.1","洪兴社经多年发展，基本已将生意转入正行，老当家忠叔出于义气接受海龙社当家的请求，拜托警界多年好友林森对海龙社毒品生意网开一面，岂料两人会面时遭人行刺。林森遇害，忠叔为避嫌只得远走台湾，将社团事务交予三个儿子。\n英国留学归来的反黑组警官梁振邦（张耀扬 饰）办案讲求原则，与忠叔脾气火爆的次子阿武（黄光亮 饰）多有摩擦，三子小玉（刘德华 饰）为人冷静，梁警官和他几次接触，彼此留下颇深的印象。另一方面，强运社当家阿飞挑拨海龙社与洪兴社关系，两方人马厮杀不断，小玉一再克制，对方反而得寸进尺杀害大哥阿文。忠叔返港引发两方决战准备，梁警官亦率领警队严阵以待……©豆瓣","何卓荣","","","","刘德华","张耀扬","王祖贤","鲍方"
"黐线枕边人","1991","1299322","喜剧","犯罪","","6.4","洪成功（洪金宝 饰）是公司里的销售员，因为工作压力巨大，洪成功常常要在下班之后去看心理医生，公司里还有一位名叫郑玲玲（郑裕玲 饰）的销售员，洪成功看不惯她的趾高气昂已久，于是决定和她一决高下。公司里来了一位大客户，想要订购五十台电话，洪成功和郑玲玲双双出击，最终，洪成功拿下了这笔订单。\n晚上，为了庆祝事业上的成功，洪成功带着妻子丽莎（于莉 饰）去餐厅吃饭庆祝，哪知道竟然成为了一宗凶杀案的目击证人，杀手蝙蝠侠（张学友 饰）也发现了洪成功的真面目，对其展开了追杀。因为行凶的场面被目击，导致蝙蝠侠压力很大，在同行的推荐下，蝙蝠侠也去看了心理医生，没想到，他竟然在诊所和洪成功重逢了。©豆瓣","洪金宝","","","","洪金宝","郑裕玲","张学友","高丽虹"
"老表你好嘢!","1991","3066874","喜剧","","","6.7","中国公安张宝胜（张坚庭 饰）为了追捕大盗林向阳和林向东而来到了香港，和他对接的是督查李少明，张宝胜因此结识了洪八妹和其好友苏琪（关秀媚 饰）。洪八妹的叔父洪金海曾是混迹黑帮的人物，对其中的弯弯绕绕了熟于心。他答应张宝胜帮他寻找富商欧阳富的下落，因为林向东和林向阳已经和欧阳富接上了头准备销赃。\n无奈敌人过于狡猾，在和双匪的对峙中，张宝胜不幸落败。不仅如此，林向东和林向阳还绑架了苏琪。为了救回苏琪，张宝胜一行人和绑匪们展开混战，最终邪不胜正，苏琪重获平安，匪徒被捉拿归案。张宝胜和洪八妹在危难之中也产生了真挚的感情。©豆瓣","陈望华","","","","张坚庭","毛舜筠","关秀媚","林蛟"
"香港豪放女学生","1991","26759459","情色","","","0","","梁成全","","","","吕丽施","陈美琪","向阳","莫家儿"
